Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the grand budapest hotel is a  comedy drama film written and directed by wes anderson ralph fiennes leads a seventeen actor ensemble cast as monsieur gustave h famed concierge of a twentieth century mountainside resort in the fictional eastern european country of zubrowka when gustave is framed for the murder of a wealthy dowager  he and his recently befriended protg zero  embark on a quest for fortune and a priceless renaissance painting amidst the backdrop of an encroaching fascist regime andersons american empirical pictures produced the film in association with studio babelsberg fox searchlight pictures and indian paintbrushs scott rudin and steven rales fox searchlight supervised the commercial distribution and the grand budapest hotels funding was sourced through indian paintbrush and german government funded tax rebates
",grand budapest hotel comedy drama film written directed wes anderson ralph fiennes leads seventeen actor ensemble cast monsieur gustave h famed concierge twentieth century mountainside resort fictional eastern european country zubrowka gustave framed murder wealthy dowager recently befriended protg zero embark quest fortune priceless renaissance painting amidst backdrop encroaching fascist regime andersons american empirical pictures produced film association studio babelsberg fox searchlight pictures indian paintbrushs scott rudin steven rales fox searchlight supervised commercial distribution grand budapest hotels funding sourced indian paintbrush german government funded tax rebates,4.77,"grand,budapest,hotel,comedy,drama,film,written,directed,wes,anderson,ralph,fiennes,leads,seventeen,actor,ensemble,cast,monsieur,gustave,h,famed,concierge,twentieth,century,mountainside,resort,fictional,eastern,european,country,zubrowka,gustave,framed,murder,wealthy,dowager,recently,befriended,protg,zero,embark,quest,fortune,priceless,renaissance,painting,amidst,backdrop,encroaching,fascist,regime,andersons,american,empirical,pictures,produced,film,association,studio,babelsberg,fox,searchlight,pictures,indian,paintbrushs,scott,rudin,steven,rales,fox,searchlight,supervised,commercial,distribution,grand,budapest,hotels,funding,sourced,indian,paintbrush,german,government,funded,tax,rebates",0.00,budapest
"anderson and longtime collaborator hugo guinness conceived the grand budapest hotel as a fragmented tale following a character inspired by a common friend they initially struggled in their brainstorming but the experience touring europe and researching the literature of austrian novelist stefan zweig shaped their vision for the film the grand budapest hotel draws visually from europe set mid century hollywood films and the united states library of congresss photochrom print collection of alpine resorts filming took place in eastern germany from january to march  french composer alexandre desplat composed the symphonic russian folk inspired score which expanded on his early work with anderson the film explores themes of fascism nostalgia friendship and loyalty and further studies analyze the function of color as an important storytelling device
",anderson longtime collaborator hugo guinness conceived grand budapest hotel fragmented tale following character inspired common friend initially struggled brainstorming experience touring europe researching literature austrian novelist stefan zweig shaped vision film grand budapest hotel draws visually europe set mid century hollywood films united states library congresss photochrom print collection alpine resorts filming took place eastern germany january march french composer alexandre desplat composed symphonic russian folk inspired score expanded early work anderson film explores themes fascism nostalgia friendship loyalty studies analyze function color important storytelling device,4.79,"anderson,longtime,collaborator,hugo,guinness,conceived,grand,budapest,hotel,fragmented,tale,following,character,inspired,common,friend,initially,struggled,brainstorming,experience,touring,europe,researching,literature,austrian,novelist,stefan,zweig,shaped,vision,film,grand,budapest,hotel,draws,visually,europe,set,mid,century,hollywood,films,united,states,library,congresss,photochrom,print,collection,alpine,resorts,filming,took,place,eastern,germany,january,march,french,composer,alexandre,desplat,composed,symphonic,russian,folk,inspired,score,expanded,early,work,anderson,film,explores,themes,fascism,nostalgia,friendship,loyalty,studies,analyze,function,color,important,storytelling,device",0.00,budapest
"the grand budapest hotel premiered in competition at the th berlin international film festival on february   the french theatrical release on february  preceded the films global rollout followed by releases in germany north america and the united kingdom on march  the grand budapest hotel received highly positive reviews in the press critics distinguished the actors and the films craftsmanship for praise though occasional criticism centered on the films approach to subject matter fragmented storytelling and characterization it earned  million in box office revenue worldwide andersons highest grossing feature to date the film was nominated for nine awards at the th academy awards winning four and received numerous other accolades
",grand budapest hotel premiered competition th berlin international film festival february french theatrical release february preceded films global rollout followed releases germany north america united kingdom march grand budapest hotel received highly positive reviews press critics distinguished actors films craftsmanship praise occasional criticism centered films approach subject matter fragmented storytelling characterization earned million box office revenue worldwide andersons highest grossing feature date film nominated awards th academy awards winning received numerous accolades,5.01,"grand,budapest,hotel,premiered,competition,th,berlin,international,film,festival,february,french,theatrical,release,february,preceded,films,global,rollout,followed,releases,germany,north,america,united,kingdom,march,grand,budapest,hotel,received,highly,positive,reviews,press,critics,distinguished,actors,films,craftsmanship,praise,occasional,criticism,centered,films,approach,subject,matter,fragmented,storytelling,characterization,earned,million,box,office,revenue,worldwide,andersons,highest,grossing,feature,date,film,nominated,awards,th,academy,awards,winning,received,numerous,accolades",0.00,budapest
"in a cemetery in the former nation of zubrowkaa a young woman visits the shrine of a renowned writer known simply as author reading his most cherished book the grand budapest hotel the book written in  recounts his  vacation at the once grand then drab hotel there he meets its owner zero moustafa who at dinner tells his rags to riches story
",cemetery nation zubrowkaa young woman visits shrine renowned writer known simply author reading cherished book grand budapest hotel book written recounts vacation grand drab hotel meets owner zero moustafa dinner tells rags riches story,8.16,"cemetery,nation,zubrowkaa,young,woman,visits,shrine,renowned,writer,known,simply,author,reading,cherished,book,grand,budapest,hotel,book,written,recounts,vacation,grand,drab,hotel,meets,owner,zero,moustafa,dinner,tells,rags,riches,story",0.00,budapest
"in  zero is the newly hired lobby boy at the prestigious grand budapest hotel monsieur gustave h the hotels fastidious concierge seduces old wealthy clients including the  year old dowager madame d with whom he has had a nearly two decade affair she mysteriously dies a month after her last hotel visit gustave and zero visit madames schloss lutz estate where they encounter surviving relatives for the reading of her will by her attorney deputy vilmos kovacs kovacs announces a recent codicil to the will which bequeaths boy with apple a priceless renaissance painting to gustave madame ds son dmitri is outraged and demands gustaves arrest gustave and zero leave absconding with the painting hiding it within the grand budapest
",zero newly hired lobby boy prestigious grand budapest hotel monsieur gustave h hotels fastidious concierge seduces old wealthy clients including year old dowager madame nearly decade affair mysteriously dies month hotel visit gustave zero visit madames schloss lutz estate encounter surviving relatives reading attorney deputy vilmos kovacs kovacs announces recent codicil bequeaths boy apple priceless renaissance painting gustave madame ds son dmitri outraged demands gustaves arrest gustave zero leave absconding painting hiding grand budapest,6.30,"zero,newly,hired,lobby,boy,prestigious,grand,budapest,hotel,monsieur,gustave,h,hotels,fastidious,concierge,seduces,old,wealthy,clients,including,year,old,dowager,madame,nearly,decade,affair,mysteriously,dies,month,hotel,visit,gustave,zero,visit,madames,schloss,lutz,estate,encounter,surviving,relatives,reading,attorney,deputy,vilmos,kovacs,kovacs,announces,recent,codicil,bequeaths,boy,apple,priceless,renaissance,painting,gustave,madame,ds,son,dmitri,outraged,demands,gustaves,arrest,gustave,zero,leave,absconding,painting,hiding,grand,budapest",0.00,budapest
"gustave zero and agatha arrive back at the grand budapest to find it converted into a military headquarters following the outbreak of war agatha sneaks in to retrieve boy with apple but is spotted with the painting by dmitri gustave and zero rush to save agatha from harm as she flees from dmitri he shoots at them and initiates a melee with zubrowkan troops which henckels stops agathas attempt to escape leaves her and zero hanging from a balcony before safely falling into the van of pastries in which they came
",gustave zero agatha arrive grand budapest find converted military headquarters following outbreak war agatha sneaks retrieve boy apple spotted painting dmitri gustave zero rush save agatha harm flees dmitri shoots initiates melee zubrowkan troops henckels stops agathas attempt escape leaves zero hanging balcony safely falling van pastries came,8.35,"gustave,zero,agatha,arrive,grand,budapest,find,converted,military,headquarters,following,outbreak,war,agatha,sneaks,retrieve,boy,apple,spotted,painting,dmitri,gustave,zero,rush,save,agatha,harm,flees,dmitri,shoots,initiates,melee,zubrowkan,troops,henckels,stops,agathas,attempt,escape,leaves,zero,hanging,balcony,safely,falling,van,pastries,came",0.00,budapest
"madame ds second will making gustave the beneficiary of her fortune is found attached to the back of boy with apple he succeeds her as owner of the grand budapest hotel and becomes one of the wealthiest zubrowkans he travels by train with the now wed zero and agatha to celebrate before encountering hostile soldiers that destroy zeros refugee documents gustave tries to fend off the soldiers but is killed zero inherits his fortune and maintains the grand budapest in memory of agatha who died of flu with their infant son
",madame ds second making gustave beneficiary fortune found attached boy apple succeeds owner grand budapest hotel wealthiest zubrowkans travels train wed zero agatha celebrate encountering hostile soldiers destroy zeros refugee documents gustave tries fend soldiers killed zero inherits fortune maintains grand budapest memory agatha died flu infant son,8.21,"madame,ds,second,making,gustave,beneficiary,fortune,found,attached,boy,apple,succeeds,owner,grand,budapest,hotel,wealthiest,zubrowkans,travels,train,wed,zero,agatha,celebrate,encountering,hostile,soldiers,destroy,zeros,refugee,documents,gustave,tries,fend,soldiers,killed,zero,inherits,fortune,maintains,grand,budapest,memory,agatha,died,flu,infant,son",0.00,budapest
"the experiences are later fictionalised and incorporated into the authors novel the grand budapest hotel
",experiences later fictionalised incorporated authors novel grand budapest hotel,5.71,"experiences,later,fictionalised,incorporated,authors,novel,grand,budapest,hotel",0.00,budapest
"drafting of the grand budapest hotel story began in  when wes anderson produced an  page script with longtime collaborator hugo guinness they imagined a fragmented tale of a character inspired by a mutual friend based in modern france and the united kingdom though their prototype led to a roughly  minute long cut the andersonguinness collaboration stalled when the two men were unable to coalesce a uniform sequence of events to advance their story by this time anderson had begun researching the work of austrian novelist stefan zweig with which he was vaguely familiar he became fascinated with zweig gravitating to beware of pity  the world of yesterday  and the post office girl  for their fatalist mythos and zweigs portrait of early twentieth century vienna anderson also used period images and urbane europe set mid century hollywood comedies as references he ultimately pursued a historical pastiche with an alternate timeline disillusioned with popular medias romanticism of pre world war ii european history once the grand budapest hotel took definite form anderson resumed the scriptwriting finishing the screenplay in six weeks the producers tapped jay clarke to supervise production of the films animatics with voiceovers by anderson
",drafting grand budapest hotel story began wes anderson produced page script longtime collaborator hugo guinness imagined fragmented tale character inspired mutual friend based modern france united kingdom prototype led roughly minute long cut andersonguinness collaboration stalled men unable coalesce uniform sequence events advance story time anderson begun researching work austrian novelist stefan zweig vaguely familiar fascinated zweig gravitating beware pity world yesterday post office girl fatalist mythos zweigs portrait early twentieth century vienna anderson period images urbane europe set mid century hollywood comedies references ultimately pursued historical pastiche alternate timeline disillusioned popular medias romanticism pre world war ii european history grand budapest hotel took definite form anderson resumed scriptwriting finishing screenplay weeks producers tapped jay clarke supervise production films animatics voiceovers anderson,5.84,"drafting,grand,budapest,hotel,story,began,wes,anderson,produced,page,script,longtime,collaborator,hugo,guinness,imagined,fragmented,tale,character,inspired,mutual,friend,based,modern,france,united,kingdom,prototype,led,roughly,minute,long,cut,andersonguinness,collaboration,stalled,men,unable,coalesce,uniform,sequence,events,advance,story,time,anderson,begun,researching,work,austrian,novelist,stefan,zweig,vaguely,familiar,fascinated,zweig,gravitating,beware,pity,world,yesterday,post,office,girl,fatalist,mythos,zweigs,portrait,early,twentieth,century,vienna,anderson,period,images,urbane,europe,set,mid,century,hollywood,comedies,references,ultimately,pursued,historical,pastiche,alternate,timeline,disillusioned,popular,medias,romanticism,pre,world,war,ii,european,history,grand,budapest,hotel,took,definite,form,anderson,resumed,scriptwriting,finishing,screenplay,weeks,producers,tapped,jay,clarke,supervise,production,films,animatics,voiceovers,anderson",0.00,budapest
"andersons sightseeing in europe was another source of inspiration for the grand budapest hotels visual motifs the writer director visited vienna munich and other major cities before the projects conception but most location scouting began after the cannes premiere of his coming of age drama moonrise kingdom  he and the producers toured budapest small italian spa towns and the czech resort karlovy vary before a final stop in germany consulting hotel staff to develop an accurate idea of a real life concierges work
",andersons sightseeing europe source inspiration grand budapest hotels visual motifs writer director visited vienna munich major cities projects conception location scouting began cannes premiere coming age drama moonrise kingdom producers toured budapest small italian spa towns czech resort karlovy vary final stop germany consulting hotel staff develop accurate idea real life concierges work,5.79,"andersons,sightseeing,europe,source,inspiration,grand,budapest,hotels,visual,motifs,writer,director,visited,vienna,munich,major,cities,projects,conception,location,scouting,began,cannes,premiere,coming,age,drama,moonrise,kingdom,producers,toured,budapest,small,italian,spa,towns,czech,resort,karlovy,vary,final,stop,germany,consulting,hotel,staff,develop,accurate,idea,real,life,concierges,work",0.00,budapest
"a seventeen actor ensemble received star billing in the grand budapest hotel anderson customarily employs a troupe of longtime collaboratorsbill murray adrien brody edward norton owen wilson tilda swinton harvey keitel willem dafoe jeff goldblum and jason schwartzman have worked on one or more of his projects norton and murray immediately signed when sent the script the grand budapest hotel ensemble comprised mostly bit cameos because of the limitations of such roles brody said that the most significant challenge was balancing the films comedy with the otherwise solemn subject matter all were the filmmakers first casting choices save for swinton whom they pursued for madame d when angela lansbury dropped out as a result of a prior commitment to a driving miss daisy theater production once hired actors were encouraged to study the source material to prepare dafoe and fiennes in particular found the animatics helpful in conceptualizing the grand budapest hotel from andersons perspective though fiennes did not refer to them too often because he wanted his acting to be spontaneous
",seventeen actor ensemble received star billing grand budapest hotel anderson customarily employs troupe longtime collaboratorsbill murray adrien brody edward norton owen wilson tilda swinton harvey keitel willem dafoe jeff goldblum jason schwartzman worked projects norton murray immediately signed sent script grand budapest hotel ensemble comprised bit cameos limitations roles brody said significant challenge balancing films comedy solemn subject matter filmmakers casting choices save swinton pursued madame angela lansbury dropped result prior commitment driving miss daisy theater production hired actors encouraged study source material prepare dafoe fiennes particular found animatics helpful conceptualizing grand budapest hotel andersons perspective fiennes refer wanted acting spontaneous,6.49,"seventeen,actor,ensemble,received,star,billing,grand,budapest,hotel,anderson,customarily,employs,troupe,longtime,collaboratorsbill,murray,adrien,brody,edward,norton,owen,wilson,tilda,swinton,harvey,keitel,willem,dafoe,jeff,goldblum,jason,schwartzman,worked,projects,norton,murray,immediately,signed,sent,script,grand,budapest,hotel,ensemble,comprised,bit,cameos,limitations,roles,brody,said,significant,challenge,balancing,films,comedy,solemn,subject,matter,filmmakers,casting,choices,save,swinton,pursued,madame,angela,lansbury,dropped,result,prior,commitment,driving,miss,daisy,theater,production,hired,actors,encouraged,study,source,material,prepare,dafoe,fiennes,particular,found,animatics,helpful,conceptualizing,grand,budapest,hotel,andersons,perspective,fiennes,refer,wanted,acting,spontaneous",0.00,budapest
"saoirse ronan joined the grand budapest hotel in november  though a longtime anderson fan ronan feared the deadpan theatrical acting style characteristic of anderson directed films would be too difficult to master she was reassured by the writer directors conviction he guides everyone extremely well he is very secure in his vision and he is very comfortable with everything he does he knows it is going to work the decision to play agatha with ronans native irish accent was andersons idea after experimenting with german english and american accents they felt an irish accent projected a warm feisty spirit into agatha
",saoirse ronan joined grand budapest hotel november longtime anderson fan ronan feared deadpan theatrical acting style characteristic anderson directed films difficult master reassured writer directors conviction guides extremely secure vision comfortable knows going work decision play agatha ronans native irish accent andersons idea experimenting german english american accents felt irish accent projected warm feisty spirit agatha,7.23,"saoirse,ronan,joined,grand,budapest,hotel,november,longtime,anderson,fan,ronan,feared,deadpan,theatrical,acting,style,characteristic,anderson,directed,films,difficult,master,reassured,writer,directors,conviction,guides,extremely,secure,vision,comfortable,knows,going,work,decision,play,agatha,ronans,native,irish,accent,andersons,idea,experimenting,german,english,american,accents,felt,irish,accent,projected,warm,feisty,spirit,agatha",0.00,budapest
"the project was director of photography robert yeomans eighth film with anderson yeoman participated in an early scouting session with anderson recording footage with stand in film crew to assess how certain scenes would unfold yeoman drew on vittorio storaros dramatic lighting techniques in the romantic musical one from the heart  filmmakers shot the grand budapest hotel in ten weeks from january to march  in eastern germany where it qualified for a tax rebate financed by the german governments federal film fund and medienboard berlin brandenburg they also found germany attractive because the production base was geographically confined facilitating efficient logistics but the frigid weather and reduced daylight of early winter disrupted the shooting schedule compounded by the slow film stock used for the camerawork to rectify the issue the producers used artificial lighting accelerated the daily work schedule and filmed night scenes at dusk
",project director photography robert yeomans eighth film anderson yeoman participated early scouting session anderson recording footage stand film crew assess certain scenes unfold yeoman drew vittorio storaros dramatic lighting techniques romantic musical heart filmmakers shot grand budapest hotel weeks january march eastern germany qualified tax rebate financed german governments federal film fund medienboard berlin brandenburg found germany attractive production base geographically confined facilitating efficient logistics frigid weather reduced daylight early winter disrupted shooting schedule compounded slow film stock camerawork rectify issue producers artificial lighting accelerated daily work schedule filmed night scenes dusk,5.54,"project,director,photography,robert,yeomans,eighth,film,anderson,yeoman,participated,early,scouting,session,anderson,recording,footage,stand,film,crew,assess,certain,scenes,unfold,yeoman,drew,vittorio,storaros,dramatic,lighting,techniques,romantic,musical,heart,filmmakers,shot,grand,budapest,hotel,weeks,january,march,eastern,germany,qualified,tax,rebate,financed,german,governments,federal,film,fund,medienboard,berlin,brandenburg,found,germany,attractive,production,base,geographically,confined,facilitating,efficient,logistics,frigid,weather,reduced,daylight,early,winter,disrupted,shooting,schedule,compounded,slow,film,stock,camerawork,rectify,issue,producers,artificial,lighting,accelerated,daily,work,schedule,filmed,night,scenes,dusk",0.00,budapest
"principal photography took place at the babelsberg studio in suburban berlin and in grlitz a mid sized border town on the lusatian neisse on germanys eastern frontier the filmmakers staged their largest interior sets at the vacant twentieth century grlitzer warenhaus whose atrium doubled for the grand budapest hotel lobby the top two floors housed production offices and storage space for cameras and wardrobe anderson at one point considered buying the warenhaus to save it from demolition he and the producers eyed vacant buildings because they could exercise full artistic control and scouting active hotels that often enforce heavy shooting restrictions would call into question the grand budapest hotels integrity exterior shots of the eighteenth century estate hainewalde manor and interior shots of schloss waldenburg stood in for the schloss lutz estate elsewhere in saxony production moved to zwickaushooting at the osterstein castleand the state capital dresden where scenes were filmed at the zwinger and the pfunds molkerei creamery
",principal photography took place babelsberg studio suburban berlin grlitz mid sized border town lusatian neisse germanys eastern frontier filmmakers staged largest interior sets vacant twentieth century grlitzer warenhaus atrium doubled grand budapest hotel lobby floors housed production offices storage space cameras wardrobe anderson point considered buying warenhaus save demolition producers eyed vacant buildings exercise artistic control scouting active hotels enforce heavy shooting restrictions question grand budapest hotels integrity exterior shots eighteenth century estate hainewalde manor interior shots schloss waldenburg stood schloss lutz estate saxony production moved zwickaushooting osterstein castleand state capital dresden scenes filmed zwinger pfunds molkerei creamery,5.83,"principal,photography,took,place,babelsberg,studio,suburban,berlin,grlitz,mid,sized,border,town,lusatian,neisse,germanys,eastern,frontier,filmmakers,staged,largest,interior,sets,vacant,twentieth,century,grlitzer,warenhaus,atrium,doubled,grand,budapest,hotel,lobby,floors,housed,production,offices,storage,space,cameras,wardrobe,anderson,point,considered,buying,warenhaus,save,demolition,producers,eyed,vacant,buildings,exercise,artistic,control,scouting,active,hotels,enforce,heavy,shooting,restrictions,question,grand,budapest,hotels,integrity,exterior,shots,eighteenth,century,estate,hainewalde,manor,interior,shots,schloss,waldenburg,stood,schloss,lutz,estate,saxony,production,moved,zwickaushooting,osterstein,castleand,state,capital,dresden,scenes,filmed,zwinger,pfunds,molkerei,creamery",0.00,budapest
"yeoman shot the grand budapest hotel on  mm film using kodak vision t  film stock from a single arricam studio camera provided by arris berlin office his approach entailed the use of a chapman leonard hybrid iii camera dolly for tracking shots and a geared head to achieve most of the films rapid whip pans for whip pans greater than  degrees the filmmakers installed a fluid head from mitchell camera corporations oconnor ultimate product line for greater fidelity anderson requested yeoman and project key grip sanjay sami focus on new methods for shooting the scenes thus they used the mad about technology towercam twin peek a telescoping camera platform to traverse between floors sometimes in lieu of a camera crane for example when a lantern drops to the basement from a hole in the cell floor in the checkpoint nineteen jailbreak scene the filmmakers suspended the towercam upside down a setup which allowed the camera to descend to the ground
",yeoman shot grand budapest hotel mm film kodak vision film stock single arricam studio camera provided arris berlin office approach entailed use chapman leonard hybrid iii camera dolly tracking shots geared head achieve films rapid whip pans whip pans greater degrees filmmakers installed fluid head mitchell camera corporations oconnor ultimate product line greater fidelity anderson requested yeoman project key grip sanjay sami focus new methods shooting scenes mad technology towercam twin peek telescoping camera platform traverse floors lieu camera crane example lantern drops basement hole cell floor checkpoint nineteen jailbreak scene filmmakers suspended towercam upside setup allowed camera descend ground,6.30,"yeoman,shot,grand,budapest,hotel,mm,film,kodak,vision,film,stock,single,arricam,studio,camera,provided,arris,berlin,office,approach,entailed,use,chapman,leonard,hybrid,iii,camera,dolly,tracking,shots,geared,head,achieve,films,rapid,whip,pans,whip,pans,greater,degrees,filmmakers,installed,fluid,head,mitchell,camera,corporations,oconnor,ultimate,product,line,greater,fidelity,anderson,requested,yeoman,project,key,grip,sanjay,sami,focus,new,methods,shooting,scenes,mad,technology,towercam,twin,peek,telescoping,camera,platform,traverse,floors,lieu,camera,crane,example,lantern,drops,basement,hole,cell,floor,checkpoint,nineteen,jailbreak,scene,filmmakers,suspended,towercam,upside,setup,allowed,camera,descend,ground",0.00,budapest
