Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
Science announced nonentity and art admired decay  The world was old and ended  but you and I were gay  Round us in antic order their crippled vices came    Lust that had lost its laughter  fear that had lost its shame ,Science announced nonentity art admired decay world old ended gay Round antic order crippled vices came Lust lost laughter fear lost shame,8.22,"Science,announced,nonentity,art,admired,decay,world,old,ended,gay,Round,antic,order,crippled,vices,came,Lust,lost,laughter,fear,lost,shame",0.00,
Like the white lock of Whistler  that lit our aimless gloom  Men showed their own white feather as proudly as a plume ,Like white lock Whistler lit aimless gloom Men showed white feather proudly plume,7.63,"Like,white,lock,Whistler,lit,aimless,gloom,Men,showed,white,feather,proudly,plume",0.00,
Life was a fly that faded  and death a drone that stung  The world was very old indeed when you and I were young ,Life fly faded death drone stung world old young,13.27,"Life,fly,faded,death,drone,stung,world,old,young",0.00,
They twisted even decent sin to shapes not to be named  Men were ashamed of honour  but we were not ashamed ,twisted decent sin shapes named Men ashamed honour ashamed,11.11,"twisted,decent,sin,shapes,named,Men,ashamed,honour,ashamed",0.00,
Weak if we were and foolish  not thus we failed  not thus  When that black Baal blocked the heavens he had no hymns from us Children we were    our forts of sand were even as weak as eve  High as they went we piled them up to break that bitter sea ,Weak foolish failed black Baal blocked heavens hymns Children forts sand weak eve High went piled break bitter sea,12.90,"Weak,foolish,failed,black,Baal,blocked,heavens,hymns,Children,forts,sand,weak,eve,High,went,piled,break,bitter,sea",0.00,
Fools as we were in motley  all jangling and absurd  When all church bells were silent our cap and beds were heard ,Fools motley jangling absurd church bells silent cap beds heard,10.43,"Fools,motley,jangling,absurd,church,bells,silent,cap,beds,heard",0.00,
Not all unhelped we held the fort  our tiny flags unfurled  Some giants laboured in that cloud to lift it from the world ,unhelped held fort tiny flags unfurled giants laboured cloud lift world,9.92,"unhelped,held,fort,tiny,flags,unfurled,giants,laboured,cloud,lift,world",0.00,
I find again the book we found  I feel the hour that flings Far out of fish   shaped Paumanok some cry of cleaner things  And the Green Carnation withered  as in forest fires that pass  Roared in the wind of all the world ten million leaves of grass  Or sane and sweet and sudden as a bird sings in the rain    Truth out of Tusitala spoke and pleasure out of pain ,find book found feel hour flings Far fish shaped Paumanok cry cleaner things Green Carnation withered forest fires pass Roared wind world million leaves grass sane sweet sudden bird sings rain Truth Tusitala spoke pleasure pain,9.62,"find,book,found,feel,hour,flings,Far,fish,shaped,Paumanok,cry,cleaner,things,Green,Carnation,withered,forest,fires,pass,Roared,wind,world,million,leaves,grass,sane,sweet,sudden,bird,sings,rain,Truth,Tusitala,spoke,pleasure,pain",0.00,
Yea  cool and clear and sudden as a bird sings in the grey  Dunedin to Samoa spoke  and darkness unto day ,Yea cool clear sudden bird sings grey Dunedin Samoa spoke darkness unto day,7.55,"Yea,cool,clear,sudden,bird,sings,grey,Dunedin,Samoa,spoke,darkness,unto,day",0.00,
But we were young  we lived to see God break their bitter charms ,young lived God break bitter charms,10.77,"young,lived,God,break,bitter,charms",0.00,
God and the good Republic come riding back in arms  We have seen the City of Mansoul  even as it rocked  relieved    Blessed are they who did not see  but being blind  believed ,God good Republic come riding arms seen City Mansoul rocked relieved Blessed blind believed,10.73,"God,good,Republic,come,riding,arms,seen,City,Mansoul,rocked,relieved,Blessed,blind,believed",0.00,
This is a tale of those old fears  even of those emptied hells  And none but you shall understand the true thing that it tells    Of what colossal gods of shame could cow men and yet crash  Of what huge devils hid the stars  yet fell at a pistol flash ,tale old fears emptied hells shall understand true thing tells colossal gods shame cow men crash huge devils hid stars fell pistol flash,10.71,"tale,old,fears,emptied,hells,shall,understand,true,thing,tells,colossal,gods,shame,cow,men,crash,huge,devils,hid,stars,fell,pistol,flash",0.00,
The doubts that were so plain to chase  so dreadful to withstand    Oh  who shall understand but you  yea  who shall understand ,doubts plain chase dreadful withstand Oh shall understand yea shall understand,8.59,"doubts,plain,chase,dreadful,withstand,Oh,shall,understand,yea,shall,understand",0.00,
The doubts that drove us through the night as we two talked amain  And day had broken on the streets e  er it broke upon the brain ,doubts drove night talked amain day broken streets e er broke brain,11.45,"doubts,drove,night,talked,amain,day,broken,streets,e,er,broke,brain",0.00,
Between us  by the peace of God  such truth can now be told  Yea  there is strength in striking root and good in growing old ,peace God truth told Yea strength striking root good growing old,11.20,"peace,God,truth,told,Yea,strength,striking,root,good,growing,old",0.00,
We have found common things at last and marriage and a creed  And I may safely write it now  and you may safely read ,found common things marriage creed safely write safely read,12.82,"found,common,things,marriage,creed,safely,write,safely,read",0.00,
G  K  C ,G K C,0.00,"G,K,C",0.00,
THE TWO POETS OF SAFFRON PARK,POETS SAFFRON PARK,10.34,"POETS,SAFFRON,PARK",0.00,
THE suburb of Saffron Park lay on the sunset side of London  as red and ragged as a cloud of sunset ,suburb Saffron Park lay sunset London red ragged cloud sunset,11.00,"suburb,Saffron,Park,lay,sunset,London,red,ragged,cloud,sunset",0.00,
It was built of a bright brick throughout  its sky   line was fantastic  and even its ground plan was wild ,built bright brick sky line fantastic ground plan wild,10.28,"built,bright,brick,sky,line,fantastic,ground,plan,wild",0.00,
