Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
The flying ship of Professor Lucifer sang through the skies like a silver arrow  the bleak white steel of it  gleaming in the bleak blue emptiness of the evening ,flying ship Professor Lucifer sang skies like silver arrow bleak white steel gleaming bleak blue emptiness evening,7.41,"flying,ship,Professor,Lucifer,sang,skies,like,silver,arrow,bleak,white,steel,gleaming,bleak,blue,emptiness,evening",0.00,
That it was far above the earth was no expression for it  to the two men in it  it seemed to be far above the stars ,far earth expression men far stars,17.24,"far,earth,expression,men,far,stars",0.00,
The professor had himself invented the flying machine  and had also invented nearly everything in it ,professor invented flying machine invented nearly,9.90,"professor,invented,flying,machine,invented,nearly",0.00,
Every sort of tool or apparatus had  in consequence  to the full  that fantastic and distorted look which belongs to the miracles of science ,sort tool apparatus consequence fantastic distorted look belongs miracles science,9.93,"sort,tool,apparatus,consequence,fantastic,distorted,look,belongs,miracles,science",0.00,
For the world of science and evolution is far more nameless and elusive and like a dream than the world of poetry and religion  since in the latter images and ideas remain themselves eternally  while it is the whole idea of evolution that identities melt into each other as they do in a nightmare ,world science evolution far nameless elusive like dream world poetry religion images ideas remain eternally idea evolution identities melt nightmare,11.45,"world,science,evolution,far,nameless,elusive,like,dream,world,poetry,religion,images,ideas,remain,eternally,idea,evolution,identities,melt,nightmare",0.00,
All the tools of Professor Lucifer were the ancient human tools gone mad  grown into unrecognizable shapes  forgetful of their origin  forgetful of their names ,tools Professor Lucifer ancient human tools gone mad grown unrecognizable shapes forgetful origin forgetful names,6.25,"tools,Professor,Lucifer,ancient,human,tools,gone,mad,grown,unrecognizable,shapes,forgetful,origin,forgetful,names",0.00,
That thing which looked like an enormous key with three wheels was really a patent and very deadly revolver ,thing looked like enormous key wheels patent deadly revolver,9.26,"thing,looked,like,enormous,key,wheels,patent,deadly,revolver",0.00,
That object which seemed to be created by the entanglement of two corkscrews was really the key ,object created entanglement corkscrews key,12.50,"object,created,entanglement,corkscrews,key",0.00,
The thing which might have been mistaken for a tricycle turned upside   down was the inexpressibly important instrument to which the corkscrew was the key ,thing mistaken tricycle turned upside inexpressibly important instrument corkscrew key,9.68,"thing,mistaken,tricycle,turned,upside,inexpressibly,important,instrument,corkscrew,key",0.00,
All these things  as I say  the professor had invented  he had invented everything in the flying ship  with the exception  perhaps  of himself ,things professor invented invented flying ship exception,11.89,"things,professor,invented,invented,flying,ship,exception",0.00,
This he had been born too late actually to inaugurate  but he believed at least  that he had considerably improved it ,born late actually inaugurate believed considerably improved,11.86,"born,late,actually,inaugurate,believed,considerably,improved",0.00,
There was  however  another man on board  so to speak  at the time ,man board speak time,13.43,"man,board,speak,time",0.00,
Him  also  by a curious coincidence  the professor had not invented  and him he had not even very greatly improved  though he had fished him up with a lasso out of his own back garden  in Western Bulgaria  with the pure object of improving him ,curious coincidence professor invented greatly improved fished lasso garden Western Bulgaria pure object improving,12.70,"curious,coincidence,professor,invented,greatly,improved,fished,lasso,garden,Western,Bulgaria,pure,object,improving",0.00,
He was an exceedingly holy man  almost entirely covered with white hair ,exceedingly holy man entirely covered white hair,6.94,"exceedingly,holy,man,entirely,covered,white,hair",0.00,
A monk of immense learning and acute intellect he had made himself happy in a little stone hut and a little stony garden in the Balkans  chiefly by writing the most crushing refutations of exposures of certain heresies  the last professors of which had been burnt  precisely    years previously ,monk immense learning acute intellect happy little stone hut little stony garden Balkans chiefly writing crushing refutations exposures certain heresies professors burnt precisely years previously,8.14,"monk,immense,learning,acute,intellect,happy,little,stone,hut,little,stony,garden,Balkans,chiefly,writing,crushing,refutations,exposures,certain,heresies,professors,burnt,precisely,years,previously",0.00,
They were really very plausible and thoughtful heresies  and it was really a creditable or even glorious circumstance  that the old monk had been intellectual enough to detect their fallacy  the only misfortune was that nobody in the modern world was intellectual enough even to understand their argument ,plausible thoughtful heresies creditable glorious circumstance old monk intellectual detect fallacy misfortune modern world intellectual understand argument,10.16,"plausible,thoughtful,heresies,creditable,glorious,circumstance,old,monk,intellectual,detect,fallacy,misfortune,modern,world,intellectual,understand,argument",0.00,
The old monk  one of whose names was Michael  and the other a name quite impossible to remember or repeat in our Western civilization  had  however  as I have said  made himself quite happy while he was in a mountain hermitage in the society of wild animals ,old monk names Michael impossible remember repeat Western civilization said happy mountain hermitage society wild animals,12.02,"old,monk,names,Michael,impossible,remember,repeat,Western,civilization,said,happy,mountain,hermitage,society,wild,animals",0.00,
And now that his luck had lifted him above all the mountains in the society of a wild physicist  he made himself happy still ,luck lifted mountains society wild physicist happy,13.60,"luck,lifted,mountains,society,wild,physicist,happy",0.00,
 I have no intention  my good Michael  said Professor Lucifer   of endeavouring to convert you by argument ,intention good Michael said Professor Lucifer endeavouring convert argument,7.48,"intention,good,Michael,said,Professor,Lucifer,endeavouring,convert,argument",0.00,
The imbecility of your traditions can be quite finally exhibited to anybody with mere ordinary knowledge of the world  the same kind of knowledge which teaches us not to sit in draughts or not to encourage friendliness in impecunious people ,imbecility traditions finally exhibited anybody mere ordinary knowledge world kind knowledge teaches sit draughts encourage friendliness impecunious people,9.13,"imbecility,traditions,finally,exhibited,anybody,mere,ordinary,knowledge,world,kind,knowledge,teaches,sit,draughts,encourage,friendliness,impecunious,people",0.00,
It is folly to talk of this or that demonstrating the rationalist philosophy ,folly talk demonstrating rationalist philosophy,10.39,"folly,talk,demonstrating,rationalist,philosophy",0.00,
