Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"donnie yen ji dan  is a hong kong actor martial artist and action director one of hong kongs top action stars yen is widely credited for bringing mixed martial arts  into the mainstream asian cinema by choreographing mma in many of his films since the early s the first chinese ufc champion zhang weili states that yens films introduced her to mma yen has displayed skill in an array of martial arts being well versed in tai chi boxing kickboxing jeet kune do hapkido mixed martial arts taekwondo karate muay thai wrestling brazilian jiu jitsu hung ga sanda judo wing chun and wushucitation needed one of the most popular film stars in asia of the early s yen is consistently one of the highest paid actors in asia yen earned hk million  from four films and six advertisements in 
",donnie yen ji dan hong kong actor martial artist action director hong kongs action stars yen widely credited bringing mixed martial arts mainstream asian cinema choreographing mma films early chinese ufc champion zhang weili states yens films introduced mma yen displayed skill array martial arts versed tai chi boxing kickboxing jeet kune hapkido mixed martial arts taekwondo karate muay thai wrestling brazilian jiu jitsu hung ga sanda judo wing chun wushucitation needed popular film stars asia early yen consistently highest paid actors asia yen earned hkmillion films advertisements,6.40,"donnie,yen,ji,dan,hong,kong,actor,martial,artist,action,director,hong,kongs,action,stars,yen,widely,credited,bringing,mixed,martial,arts,mainstream,asian,cinema,choreographing,mma,films,early,chinese,ufc,champion,zhang,weili,states,yens,films,introduced,mma,yen,displayed,skill,array,martial,arts,versed,tai,chi,boxing,kickboxing,jeet,kune,hapkido,mixed,martial,arts,taekwondo,karate,muay,thai,wrestling,brazilian,jiu,jitsu,hung,ga,sanda,judo,wing,chun,wushucitation,needed,popular,film,stars,asia,early,yen,consistently,highest,paid,actors,asia,yen,earned,hkmillion,films,advertisements",0.00,yen
"yen is credited by many for contributing to the popularisation of wing chun in china he portrays wing chun grandmaster ip man in the ip man film series which has garnered box office success and led to an increase in the number of people taking up wing chun with hundreds of new wing chun schools being opened up in mainland china and other parts of asia ip chun the eldest son of ip man even mentioned that he is grateful to yen for making his familys art popular and allowing his fathers legacy to be remembered he has also gained international recognition for playing chirrut mwe in rogue one  and xiang in xxx return of xander cage  as well as commander tung in mulan  and caine in john wick chapter  
",yen credited contributing popularisation wing chun china portrays wing chun grandmaster ip man ip man film series garnered box office success led increase number people taking wing chun hundreds new wing chun schools opened mainland china parts asia ip chun eldest son ip man mentioned grateful yen making familys art popular allowing fathers legacy remembered gained international recognition playing chirrut mwe rogue xiang xxx return xander cage commander tung mulan caine john wick chapter,7.94,"yen,credited,contributing,popularisation,wing,chun,china,portrays,wing,chun,grandmaster,ip,man,ip,man,film,series,garnered,box,office,success,led,increase,number,people,taking,wing,chun,hundreds,new,wing,chun,schools,opened,mainland,china,parts,asia,ip,chun,eldest,son,ip,man,mentioned,grateful,yen,making,familys,art,popular,allowing,fathers,legacy,remembered,gained,international,recognition,playing,chirrut,mwe,rogue,xiang,xxx,return,xander,cage,commander,tung,mulan,caine,john,wick,chapter",0.00,yen
"yen was born on  july  in guangzhou guangdong china his mother bow sim mark is a fu style wudangquan  and tai chi grandmaster while his father klyster yen  was a newspaper editor when he was two years old his family moved to hong kong and then to the united states settling in boston when he was 
",yen born july guangzhou guangdong china mother bow sim mark fu style wudangquan tai chi grandmaster father klyster yen newspaper editor years old family moved hong kong united states settling boston,8.42,"yen,born,july,guangzhou,guangdong,china,mother,bow,sim,mark,fu,style,wudangquan,tai,chi,grandmaster,father,klyster,yen,newspaper,editor,years,old,family,moved,hong,kong,united,states,settling,boston",0.00,yen
"his younger sister chris yen is also a martial artist and actress and appeared in the  film adventures of johnny tao rock around the dragon
",younger sister chris yen martial artist actress appeared film adventures johnny tao rock dragon,7.86,"younger,sister,chris,yen,martial,artist,actress,appeared,film,adventures,johnny,tao,rock,dragon",0.00,yen
"at a young age under the influence of his mother yen developed an interest in martial arts and began experimenting with various styles including tai chi and other traditional chinese martial arts yen then started karate when he was nine yen focused on practising wushu seriously at the age  after dropping out of school his parents were concerned that he was spending too much time in bostons combat zone so they sent him to beijing on a  year training program with the beijing wushu team
",young age influence mother yen developed interest martial arts began experimenting styles including tai chi traditional chinese martial arts yen started karate yen focused practising wushu seriously age dropping school parents concerned spending time bostons combat zone sent beijing year training program beijing wushu team,8.18,"young,age,influence,mother,yen,developed,interest,martial,arts,began,experimenting,styles,including,tai,chi,traditional,chinese,martial,arts,yen,started,karate,yen,focused,practising,wushu,seriously,age,dropping,school,parents,concerned,spending,time,bostons,combat,zone,sent,beijing,year,training,program,beijing,wushu,team",0.00,yen
"when yen decided to return to the united states he made a side trip to hong kong where he met action choreographer yuen woo ping yen finally started taekwondo at around the age of sixteen
",yen decided return united states trip hong kong met action choreographer yuen woo ping yen finally started taekwondo age sixteen,7.98,"yen,decided,return,united,states,trip,hong,kong,met,action,choreographer,yuen,woo,ping,yen,finally,started,taekwondo,age,sixteen",0.00,yen
"yen also came from a family of musicians his mother is a soprano in addition to being a martial arts teacher in boston while his father is a violinist from a young age he was taught by his parents to play musical instruments including the piano he also knows hip hop dancing and breakdancing
",yen came family musicians mother soprano addition martial arts teacher boston father violinist young age taught parents play musical instruments including piano knows hip hop dancing breakdancing,9.25,"yen,came,family,musicians,mother,soprano,addition,martial,arts,teacher,boston,father,violinist,young,age,taught,parents,play,musical,instruments,including,piano,knows,hip,hop,dancing,breakdancing",0.00,yen
"after filming drunken tai chi and tiger cage  yen made his breakthrough role as general nap lan in once upon a time in china ii  which included a fight scene between his character and wong fei hung  yen had a starring role in the film iron monkey in  yen and li appeared together again in the  film hero where yen played a spear  fighter who fought with lis character an unnamed swordsman the film was nominated for best foreign language film at the  academy awards
",filming drunken tai chi tiger cage yen breakthrough role general nap lan time china ii included fight scene character wong fei hung yen starring role film iron monkey yen li appeared film hero yen played spear fighter fought lis character unnamed swordsman film nominated best foreign language film academy awards,7.51,"filming,drunken,tai,chi,tiger,cage,yen,breakthrough,role,general,nap,lan,time,china,ii,included,fight,scene,character,wong,fei,hung,yen,starring,role,film,iron,monkey,yen,li,appeared,film,hero,yen,played,spear,fighter,fought,lis,character,unnamed,swordsman,film,nominated,best,foreign,language,film,academy,awards",0.00,yen
"in  yen starred as chen zhen in the television series fist of fury produced by atv which is adapted from the  film of the same title that starred bruce lee as chen zhen yen reprised his role as chen zhen in the  film legend of the fist the return of chen zhen
",yen starred chen zhen television series fist fury produced atv adapted film title starred bruce lee chen zhen yen reprised role chen zhen film legend fist return chen zhen,8.85,"yen,starred,chen,zhen,television,series,fist,fury,produced,atv,adapted,film,title,starred,bruce,lee,chen,zhen,yen,reprised,role,chen,zhen,film,legend,fist,return,chen,zhen",0.00,yen
"in  yen started the production company bullet films and made his directorial debut in legend of the wolf  and ballistic kiss  in which he played the lead character at age  yen almost went bankrupt films produced by his own production company and directed by him were critically acclaimed but did not do well at the box office yen was forced to borrow money from loan sharks and his production crew to get by
",yen started production company bullet films directorial debut legend wolf ballistic kiss played lead character age yen went bankrupt films produced production company directed critically acclaimed box office yen forced borrow money loan sharks production crew,9.07,"yen,started,production,company,bullet,films,directorial,debut,legend,wolf,ballistic,kiss,played,lead,character,age,yen,went,bankrupt,films,produced,production,company,directed,critically,acclaimed,box,office,yen,forced,borrow,money,loan,sharks,production,crew",0.00,yen
