Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the order of australia is an honour that recognises australian citizens and other persons for outstanding achievement and service it was established on  february  by elizabeth ii queen of australia on the advice of the australian government before the establishment of the order australian citizens received british honours
",order australia honour recognises australian citizens persons outstanding achievement service established february elizabeth ii queen australia advice australian government establishment order australian citizens received british honours,6.79,"order,australia,honour,recognises,australian,citizens,persons,outstanding,achievement,service,established,february,elizabeth,ii,queen,australia,advice,australian,government,establishment,order,australian,citizens,received,british,honours",0.00,australia
"the monarch of australia is sovereign head of the order  while the governor general of australia is the principal companiondameknight  and chancellor of the order the governor generals official secretary paul singer  is secretary of the order appointments are made by the governor general on behalf of the monarch of australia based on recommendations made by the council of the order of australia recent knighthoods and damehoods were recommended to the governor general by the prime minister of australia
",monarch australia sovereign head order governor general australia principal companiondameknight chancellor order governor generals official secretary paul singer secretary order appointments governor general behalf monarch australia based recommendations council order australia recent knighthoods damehoods recommended governor general prime minister australia,7.69,"monarch,australia,sovereign,head,order,governor,general,australia,principal,companiondameknight,chancellor,order,governor,generals,official,secretary,paul,singer,secretary,order,appointments,governor,general,behalf,monarch,australia,based,recommendations,council,order,australia,recent,knighthoods,damehoods,recommended,governor,general,prime,minister,australia",0.00,australia
"the badge of the order of australia is a convex disc  representing the golden wattle flower at the centre is a ring representing the sea with the word australia below two branches of golden wattle the whole disc is topped by the crown of st edward the ac badge is decorated with citrines blue enamelled ring and enamelled crown the ao badge is similar without the citrines for the am badge only the crown is enamelled and the oam badge is plain the akad badge is similar to that of the ac badge but with the difference that it contains at the centre an enamelled disc bearing an image of the coat of arms of australianote 
",badge order australia convex disc representing golden wattle flower centre ring representing sea word australia branches golden wattle disc topped crown st edward ac badge decorated citrines blue enamelled ring enamelled crown ao badge similar citrines badge crown enamelled oam badge plain akad badge similar ac badge difference contains centre enamelled disc bearing image coat arms australianote,9.47,"badge,order,australia,convex,disc,representing,golden,wattle,flower,centre,ring,representing,sea,word,australia,branches,golden,wattle,disc,topped,crown,st,edward,ac,badge,decorated,citrines,blue,enamelled,ring,enamelled,crown,ao,badge,similar,citrines,badge,crown,enamelled,oam,badge,plain,akad,badge,similar,ac,badge,difference,contains,centre,enamelled,disc,bearing,image,coat,arms,australianote",0.00,australia
"while state governors can present the officer and member level and the medal of the order of australia to their respective states residents only the king of australia or the governor general can present the companion level 
",state governors present officer member level medal order australia respective states residents king australia governor general present companion level,8.04,"state,governors,present,officer,member,level,medal,order,australia,respective,states,residents,king,australia,governor,general,present,companion,level",0.00,australia
"since  any australian citizen may nominate any person for an order of australia  award people who are not australian citizens may be awarded honorary membership of the order at all levels nomination forms are submitted to the director honours secretariat a position within the office of the official secretary to the governor general of australia at government house canberra which are then forwarded to the council for the order of australia the prime minister of the day appoints the council chair and seven community representatives while each state and territory appoints its representative and there are other ex officio members the council chair as at january  was former country liberal party chief minister of the northern territory shane stone
",australian citizen nominate person order australia award people australian citizens awarded honorary membership order levels nomination forms submitted director honours secretariat position office official secretary governor general australia government house canberra forwarded council order australia prime minister day appoints council chair seven community representatives state territory appoints representative ex officio members council chair january country liberal party chief minister northern territory shane stone,7.44,"australian,citizen,nominate,person,order,australia,award,people,australian,citizens,awarded,honorary,membership,order,levels,nomination,forms,submitted,director,honours,secretariat,position,office,official,secretary,governor,general,australia,government,house,canberra,forwarded,council,order,australia,prime,minister,day,appoints,council,chair,seven,community,representatives,state,territory,appoints,representative,ex,officio,members,council,chair,january,country,liberal,party,chief,minister,northern,territory,shane,stone",0.00,australia
"the council makes recommendations to the governor general awards are announced on australia day and on the kings birthday public holiday in june on the occasion of a special announcement by the governor general  and on the appointment of a new governor general the governor general presents the orders insignia to new appointees
",council makes recommendations governor general awards announced australia day kings birthday public holiday june occasion special announcement governor general appointment new governor general governor general presents orders insignia new appointees,6.99,"council,makes,recommendations,governor,general,awards,announced,australia,day,kings,birthday,public,holiday,june,occasion,special,announcement,governor,general,appointment,new,governor,general,governor,general,presents,orders,insignia,new,appointees",0.00,australia
"the order of australia was established on  february  by letters patent of queen elizabeth ii of australia the australian monarch and countersigned by the prime minister of australia gough whitlam the original order had three levels companion  officer  and member  as well as two divisions civil division and military division at the time it was also announced that australian prime ministers would no longer nominate persons for british imperial honours but this new practice did not extend to nominations by state premiers
",order australia established february letters patent queen elizabeth ii australia australian monarch countersigned prime minister australia gough whitlam original order levels companion officer member divisions civil division military division time announced australian prime ministers longer nominate persons british imperial honours new practice extend nominations state premiers,6.87,"order,australia,established,february,letters,patent,queen,elizabeth,ii,australia,australian,monarch,countersigned,prime,minister,australia,gough,whitlam,original,order,levels,companion,officer,member,divisions,civil,division,military,division,time,announced,australian,prime,ministers,longer,nominate,persons,british,imperial,honours,new,practice,extend,nominations,state,premiers",0.00,australia
"on  may  the level of knight  and dame  and the medal of the order of australia  were created by the queen on the advice of whitlams successor malcolm fraser and the civil division was renamed the general division the level of knightdame was awarded only in the general division
",level knight dame medal order australia created queen advice whitlams successor malcolm fraser civil division renamed general division level knightdame awarded general division,9.32,"level,knight,dame,medal,order,australia,created,queen,advice,whitlams,successor,malcolm,fraser,civil,division,renamed,general,division,level,knightdame,awarded,general,division",0.00,australia
"the original three level structure of the order of australia was modelled closely upon the order of canada though the order of australia has been awarded rather more liberally especially in regard to honorary awards to non citizens to date only  non canadians have been appointed to the order of canada while more than  non australians have been appointed to the order of australia with  to the companion level
",original level structure order australia modelled closely order canada order australia awarded liberally especially regard honorary awards non citizens date non canadians appointed order canada non australians appointed order australia companion level,9.00,"original,level,structure,order,australia,modelled,closely,order,canada,order,australia,awarded,liberally,especially,regard,honorary,awards,non,citizens,date,non,canadians,appointed,order,canada,non,australians,appointed,order,australia,companion,level",0.00,australia
"on  march  prime minister tony abbott advised the queen to reinstate the level of knightdame and the queen co signed letters patent to bring this into effect the change was publicly announced on  march and gazetted on  april  up to four knights andor dames could be appointed each year by the queen of australia on the advice of the prime minister of australia after consultation with the chairman of the order of australia council
",march prime minister tony abbott advised queen reinstate level knightdame queen co signed letters patent bring effect change publicly announced march gazetted april knights andor dames appointed year queen australia advice prime minister australia consultation chairman order australia council,8.10,"march,prime,minister,tony,abbott,advised,queen,reinstate,level,knightdame,queen,co,signed,letters,patent,bring,effect,change,publicly,announced,march,gazetted,april,knights,andor,dames,appointed,year,queen,australia,advice,prime,minister,australia,consultation,chairman,order,australia,council",0.00,australia
