Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
Enter Barnardo and Francisco two Centinels ,Enter Barnardo Francisco Centinels,4.65,"Enter,Barnardo,Francisco,Centinels",0.00,
Nay answer me  Stand  vnfold your selfe,Nay answer Stand vnfold selfe,5.13,"Nay,answer,Stand,vnfold,selfe",0.00,
Long liue the King,Long liue King,5.56,"Long,liue,King",0.00,
You come most carefully vpon your houre,come carefully vpon houre,7.69,"come,carefully,vpon,houre",0.00,
 It Is now strook twelue  get thee to bed Francisco,strook twelue thee bed Francisco,9.80,"strook,twelue,thee,bed,Francisco",0.00,
For this releefe much thankes   It Is bitter cold  And I am sicke at heart,releefe thankes bitter cold sicke heart,12.16,"releefe,thankes,bitter,cold,sicke,heart",0.00,
Haue you had quiet Guard ,Haue quiet Guard,8.00,"Haue,quiet,Guard",0.00,
If you do meet Horatio and Marcellus  the Riuals of my Watch  bid them make hast ,meet Horatio Marcellus Riuals Watch bid hast,11.11,"meet,Horatio,Marcellus,Riuals,Watch,bid,hast",0.00,
Enter Horatio and Marcellus ,Enter Horatio Marcellus,3.57,"Enter,Horatio,Marcellus",0.00,
And Leige   men to the Dane,Leige men Dane,11.11,"Leige,men,Dane",0.00,
Giue you good night,Giue good night,5.26,"Giue,good,night",0.00,
O farwel honest Soldier  who hath relieu  d you ,farwel honest Soldier hath relieu,8.33,"farwel,honest,Soldier,hath,relieu",0.00,
Barnardo ha  s my place  giue you goodnight ,Barnardo ha place giue goodnight,6.82,"Barnardo,ha,place,giue,goodnight",0.00,
Welcome Horatio  welcome good Marcellus,Welcome Horatio welcome good Marcellus,0.00,"Welcome,Horatio,welcome,good,Marcellus",0.00,
What  ha  s this thing appear  d againe to night,ha thing appear againe night,10.42,"ha,thing,appear,againe,night",0.00,
Horatio saies   it is but our Fantasie  And will not let beleefe take hold of him Touching this dreaded sight  twice seene of vs  Therefore I haue intreated him along With vs  to watch the minutes of this Night  That if againe this Apparition come  He may approue our eyes  and speake to it,Horatio saies Fantasie let beleefe hold Touching dreaded sight twice seene vs haue intreated vs watch minutes Night againe Apparition come approue eyes speake,10.34,"Horatio,saies,Fantasie,let,beleefe,hold,Touching,dreaded,sight,twice,seene,vs,haue,intreated,vs,watch,minutes,Night,againe,Apparition,come,approue,eyes,speake",0.00,
Tush  tush   twill not appeare,Tush tush twill appeare,3.33,"Tush,tush,twill,appeare",0.00,
Sit downe a   while  And let vs once againe assaile your eares  That are so fortified against our Story  What we two Nights haue seene,Sit downe let vs againe assaile eares fortified Story Nights haue seene,9.70,"Sit,downe,let,vs,againe,assaile,eares,fortified,Story,Nights,haue,seene",0.00,
Well  sit we downe  And let vs heare Barnardo speake of this,sit downe let vs heare Barnardo speake,8.33,"sit,downe,let,vs,heare,Barnardo,speake",0.00,
Last night of all  When yond same Starre that  s Westward from the Pole Had made his course t  illume that part of Heauen Where now it burnes  Marcellus and my selfe  The Bell then beating one,night yond Starre Westward Pole course illume Heauen burnes Marcellus selfe Bell beating,12.50,"night,yond,Starre,Westward,Pole,course,illume,Heauen,burnes,Marcellus,selfe,Bell,beating",0.00,
Peace  breake thee of  Enter the Ghost ,Peace breake thee Enter Ghost,5.13,"Peace,breake,thee,Enter,Ghost",0.00,
Looke where it comes againe,Looke comes againe,7.41,"Looke,comes,againe",0.00,
In the same figure  like the King that  s dead,figure like King dead,13.04,"figure,like,King,dead",0.00,
Thou art a Scholler  speake to it Horatio,Thou art Scholler speake Horatio,7.32,"Thou,art,Scholler,speake,Horatio",0.00,
Lookes it not like the King ,Lookes like King,10.71,"Lookes,like,King",0.00,
Most like  It harrowes me with fear  wonder Barn ,like harrowes fear wonder Barn,8.16,"like,harrowes,fear,wonder,Barn",0.00,
What art thou that vsurp  st this time of night  Together with that Faire and Warlike forme In which the Maiesty of buried Denmarke Did sometimes march  By Heauen I charge thee speake,art thou vsurp st time night Faire Warlike forme Maiesty buried Denmarke march Heauen charge thee speake,8.74,"art,thou,vsurp,st,time,night,Faire,Warlike,forme,Maiesty,buried,Denmarke,march,Heauen,charge,thee,speake",0.00,
Stay  speake  speake  I Charge thee  speake ,Stay speake speake Charge thee speake,2.27,"Stay,speake,speake,Charge,thee,speake",0.00,
You tremble  look pale  Is not this something more then Fantasie ,tremble look pale Fantasie,10.77,"tremble,look,pale,Fantasie",0.00,
Before my God  I might not this beleeue Without the sensible and true auouch Of mine owne eyes,God beleeue sensible true auouch owne eyes,11.70,"God,beleeue,sensible,true,auouch,owne,eyes",0.00,
