Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
This was the page at which the favourite volume always opened ,page favourite volume opened,11.29,"page,favourite,volume,opened",0.00,
 ELLIOT OF KELLYNCH HALL ,ELLIOT KELLYNCH HALL,4.00,"ELLIOT,KELLYNCH,HALL",0.00,
 Walter Elliot  born March     married  July     Elizabeth  daughter of James Stevenson  Esq ,Walter Elliot born March married July Elizabeth daughter James Stevenson Esq,1.08,"Walter,Elliot,born,March,married,July,Elizabeth,daughter,James,Stevenson,Esq",0.00,
of South Park  in the county of Gloucester  by which lady  he has issue Elizabeth  born June     Anne  born August     a still   born son  November     Mary  born November    ,South Park county Gloucester lady issue Elizabeth born June Anne born August born son November Mary born November,5.71,"South,Park,county,Gloucester,lady,issue,Elizabeth,born,June,Anne,born,August,born,son,November,Mary,born,November",0.00,
Precisely such had the paragraph originally stood from the printer  s hands  but Sir Walter had improved it by adding  for the information of himself and his family  these words  after the date of Mary  s birth     Married  December     Charles  son and heir of Charles Musgrove  Esq ,Precisely paragraph originally stood printer hands Sir Walter improved adding information family words date Mary birth Married December Charles son heir Charles Musgrove Esq,8.10,"Precisely,paragraph,originally,stood,printer,hands,Sir,Walter,improved,adding,information,family,words,date,Mary,birth,Married,December,Charles,son,heir,Charles,Musgrove,Esq",0.00,
of Uppercross  in the county of Somerset  and by inserting most accurately the day of the month on which he had lost his wife ,Uppercross county Somerset inserting accurately day month lost wife,11.90,"Uppercross,county,Somerset,inserting,accurately,day,month,lost,wife",0.00,
Then followed the history and rise of the ancient and respectable family  in the usual terms  how it had been first settled in Cheshire  how mentioned in Dugdale  serving the office of high sheriff  representing a borough in three successive parliaments  exertions of loyalty  and dignity of baronet  in the first year of Charles II  with all the Marys and Elizabeths they had married  forming altogether two handsome duodecimo pages  and concluding with the arms and motto    Principal seat  Kellynch Hall  in the county of Somerset  and Sir Walter  s handwriting again in this finale   ,followed history rise ancient respectable family usual terms settled Cheshire mentioned Dugdale serving office high sheriff representing borough successive parliaments exertions loyalty dignity baronet year Charles II Marys Elizabeths married forming altogether handsome duodecimo pages concluding arms motto Principal seat Kellynch Hall county Somerset Sir Walter handwriting finale,7.99,"followed,history,rise,ancient,respectable,family,usual,terms,settled,Cheshire,mentioned,Dugdale,serving,office,high,sheriff,representing,borough,successive,parliaments,exertions,loyalty,dignity,baronet,year,Charles,II,Marys,Elizabeths,married,forming,altogether,handsome,duodecimo,pages,concluding,arms,motto,Principal,seat,Kellynch,Hall,county,Somerset,Sir,Walter,handwriting,finale",0.00,
 Heir presumptive  William Walter Elliot  Esq  great grandson of the second Sir Walter ,Heir presumptive William Walter Elliot Esq great grandson second Sir Walter,2.30,"Heir,presumptive,William,Walter,Elliot,Esq,great,grandson,second,Sir,Walter",0.00,
Vanity was the beginning and the end of Sir Walter Elliot  s character  vanity of person and of situation ,Vanity beginning end Sir Walter Elliot character vanity person situation,8.49,"Vanity,beginning,end,Sir,Walter,Elliot,character,vanity,person,situation",0.00,
He had been remarkably handsome in his youth  and  at fifty   four  was still a very fine man ,remarkably handsome youth fine man,13.83,"remarkably,handsome,youth,fine,man",0.00,
