Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the trumpet is a brass instrument commonly used in classical and jazz ensembles the trumpet group ranges from the piccolo trumpetwith the highest register in the brass familyto the bass trumpet pitched one octave below the standard b or c trumpet
",trumpet brass instrument commonly classical jazz ensembles trumpet group ranges piccolo trumpetwith highest register brass familyto bass trumpet pitched octave standard b c trumpet,6.88,"trumpet,brass,instrument,commonly,classical,jazz,ensembles,trumpet,group,ranges,piccolo,trumpetwith,highest,register,brass,familyto,bass,trumpet,pitched,octave,standard,b,c,trumpet",0.00,trumpet
"trumpet like instruments have historically been used as signaling devices in battle or hunting with examples dating back to at least  because they began to be used as musical instruments only in the late th or early th century trumpets are used in art music styles for instance in orchestras concert bands and jazz ensembles as well as in popular music they are played by blowing air through nearly closed lips  producing a buzzing sound that starts a standing wave vibration in the air column inside the instrument since the late th century trumpets have primarily been constructed of brass tubing usually bent twice into a rounded rectangular shape
",trumpet like instruments historically signaling devices battle hunting examples dating began musical instruments late th early th century trumpets art music styles instance orchestras concert bands jazz ensembles popular music played blowing air nearly closed lips producing buzzing sound starts standing wave vibration air column inside instrument late th century trumpets primarily constructed brass tubing usually bent twice rounded rectangular shape,7.37,"trumpet,like,instruments,historically,signaling,devices,battle,hunting,examples,dating,began,musical,instruments,late,th,early,th,century,trumpets,art,music,styles,instance,orchestras,concert,bands,jazz,ensembles,popular,music,played,blowing,air,nearly,closed,lips,producing,buzzing,sound,starts,standing,wave,vibration,air,column,inside,instrument,late,th,century,trumpets,primarily,constructed,brass,tubing,usually,bent,twice,rounded,rectangular,shape",0.00,trumpet
"there are many distinct types of trumpet with the most common being pitched in b  having a tubing length of about  m  early trumpets did not provide means to change the length of tubing whereas modern instruments generally have three  valves in order to change their pitch most trumpets have valves of the piston type while some have the rotary type the use of rotary valved trumpets is more common in orchestral settings  although this practice varies by country a musician who plays the trumpet is called a trumpet player or trumpeter
",distinct types trumpet common pitched b tubing length early trumpets provide means change length tubing modern instruments generally valves order change pitch trumpets valves piston type rotary type use rotary valved trumpets common orchestral settings practice varies country musician plays trumpet called trumpet player trumpeter,8.75,"distinct,types,trumpet,common,pitched,b,tubing,length,early,trumpets,provide,means,change,length,tubing,modern,instruments,generally,valves,order,change,pitch,trumpets,valves,piston,type,rotary,type,use,rotary,valved,trumpets,common,orchestral,settings,practice,varies,country,musician,plays,trumpet,called,trumpet,player,trumpeter",0.00,trumpet
"the english word trumpet was first used in the late th century the word came from old french trompette which is a diminutive of trompe the word trump meaning trumpet was first used in english in  the word comes from old french trompe long tube like musical wind instrument  cognate with provenal tromba italian tromba all probably from a germanic source  of imitative origin
",english word trumpet late th century word came old french trompette diminutive trompe word trump meaning trumpet english word comes old french trompe long tube like musical wind instrument cognate provenal tromba italian tromba probably germanic source imitative origin,6.67,"english,word,trumpet,late,th,century,word,came,old,french,trompette,diminutive,trompe,word,trump,meaning,trumpet,english,word,comes,old,french,trompe,long,tube,like,musical,wind,instrument,cognate,provenal,tromba,italian,tromba,probably,germanic,source,imitative,origin",0.00,trumpet
"the shofar made from a ram horn and the hatzotzeroth made of metal are both mentioned in the bible they were said to have been played in solomons temple around  years ago they were said to be used to blow down the walls of jericho they are still used on certain religious days 
the salpinx was a straight trumpet  inches  long made of bone or bronze salpinx contests were a part of the original olympic games
",shofar ram horn hatzotzeroth metal mentioned bible said played solomons temple years ago said blow walls jericho certain religious days salpinx straight trumpet inches long bone bronze salpinx contests original olympic games,10.76,"shofar,ram,horn,hatzotzeroth,metal,mentioned,bible,said,played,solomons,temple,years,ago,said,blow,walls,jericho,certain,religious,days,salpinx,straight,trumpet,inches,long,bone,bronze,salpinx,contests,original,olympic,games",0.00,trumpet
"improvements to instrument design and metal making in the late middle ages and renaissance led to an increased usefulness of the trumpet as a musical instrument the natural trumpets of this era consisted of a single coiled tube without valves and therefore could only produce the notes of a single overtone series changing keys required the player to change crooks of the instrument  the development of the upper clarino register by specialist trumpetersnotably cesare bendinelliwould lend itself well to the baroque era also known as the golden age of the natural trumpet during this period a vast body of music was written for virtuoso trumpeters the art was revived in the mid th century and natural trumpet playing is again a thriving art around the world many modern players in germany and the uk who perform baroque music use a version of the natural trumpet fitted with three or four vent holes to aid in correcting out of tune notes in the harmonic series
",improvements instrument design metal making late middle ages renaissance led increased usefulness trumpet musical instrument natural trumpets era consisted single coiled tube valves produce notes single overtone series changing keys required player change crooks instrument development upper clarino register specialist trumpetersnotably cesare bendinelliwould lend baroque era known golden age natural trumpet period vast body music written virtuoso trumpeters art revived mid th century natural trumpet playing thriving art world modern players germany uk perform baroque music use version natural trumpet fitted vent holes aid correcting tune notes harmonic series,7.78,"improvements,instrument,design,metal,making,late,middle,ages,renaissance,led,increased,usefulness,trumpet,musical,instrument,natural,trumpets,era,consisted,single,coiled,tube,valves,produce,notes,single,overtone,series,changing,keys,required,player,change,crooks,instrument,development,upper,clarino,register,specialist,trumpetersnotably,cesare,bendinelliwould,lend,baroque,era,known,golden,age,natural,trumpet,period,vast,body,music,written,virtuoso,trumpeters,art,revived,mid,th,century,natural,trumpet,playing,thriving,art,world,modern,players,germany,uk,perform,baroque,music,use,version,natural,trumpet,fitted,vent,holes,aid,correcting,tune,notes,harmonic,series",0.00,trumpet
"the melody dominated homophony of the classical and romantic periods relegated the trumpet to a secondary role by most major composers owing to the limitations of the natural trumpet berlioz wrote in 
",melody dominated homophony classical romantic periods relegated trumpet secondary role major composers owing limitations natural trumpet berlioz wrote,6.97,"melody,dominated,homophony,classical,romantic,periods,relegated,trumpet,secondary,role,major,composers,owing,limitations,natural,trumpet,berlioz,wrote",0.00,trumpet
"the trumpet is constructed of brass tubing bent twice into a rounded oblong shape as with all brass instruments sound is produced by blowing air through closed lips producing a buzzing sound into the mouthpiece and starting a standing wave vibration in the air column inside the trumpet the player can select the pitch from a range of overtones or harmonics by changing the lip aperture and tension 
",trumpet constructed brass tubing bent twice rounded oblong shape brass instruments sound produced blowing air closed lips producing buzzing sound mouthpiece starting standing wave vibration air column inside trumpet player select pitch range overtones harmonics changing lip aperture tension,7.25,"trumpet,constructed,brass,tubing,bent,twice,rounded,oblong,shape,brass,instruments,sound,produced,blowing,air,closed,lips,producing,buzzing,sound,mouthpiece,starting,standing,wave,vibration,air,column,inside,trumpet,player,select,pitch,range,overtones,harmonics,changing,lip,aperture,tension",0.00,trumpet
"the pitch of the trumpet can be raised or lowered by the use of the tuning slide pulling the slide out lowers the pitch pushing the slide in raises it to overcome the problems of intonation and reduce the use of the slide renold schilke designed the tuning bell trumpet removing the usual brace between the bell and a valve body allows the use of a sliding bell the player may then tune the horn with the bell while leaving the slide pushed in or nearly so thereby improving intonation and overall response
",pitch trumpet raised lowered use tuning slide pulling slide lowers pitch pushing slide raises overcome problems intonation reduce use slide renold schilke designed tuning bell trumpet removing usual brace bell valve body allows use sliding bell player tune horn bell leaving slide pushed nearly improving intonation overall response,8.88,"pitch,trumpet,raised,lowered,use,tuning,slide,pulling,slide,lowers,pitch,pushing,slide,raises,overcome,problems,intonation,reduce,use,slide,renold,schilke,designed,tuning,bell,trumpet,removing,usual,brace,bell,valve,body,allows,use,sliding,bell,player,tune,horn,bell,leaving,slide,pushed,nearly,improving,intonation,overall,response",0.00,trumpet
"a trumpet becomes a closed tube when the player presses it to the lips therefore the instrument only naturally produces every other overtone of the harmonic series the shape of the bell makes the missing overtones audible most notes in the series are slightly out of tune and modern trumpets have slide mechanisms for the first and third valves with which the player can compensate by throwing  or retracting one or both slides using the left thumb and ring finger for the first and third valve slides respectively
",trumpet closed tube player presses lips instrument naturally produces overtone harmonic series shape bell makes missing overtones audible notes series slightly tune modern trumpets slide mechanisms valves player compensate throwing retracting slides left thumb ring finger valve slides respectively,9.51,"trumpet,closed,tube,player,presses,lips,instrument,naturally,produces,overtone,harmonic,series,shape,bell,makes,missing,overtones,audible,notes,series,slightly,tune,modern,trumpets,slide,mechanisms,valves,player,compensate,throwing,retracting,slides,left,thumb,ring,finger,valve,slides,respectively",0.00,trumpet
