Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
THE consulting   rooms of Dr Orion Hood  the eminent criminologist and specialist in certain moral disorders  lay along the sea   front at Scarborough  in a series of very large and well   lighted french windows  which showed the North Sea like one endless outer wall of blue   green marble ,consulting rooms Dr Orion Hood eminent criminologist specialist certain moral disorders lay sea Scarborough series large lighted french windows showed North Sea like endless outer wall blue green marble,6.53,"consulting,rooms,Dr,Orion,Hood,eminent,criminologist,specialist,certain,moral,disorders,lay,sea,Scarborough,series,large,lighted,french,windows,showed,North,Sea,like,endless,outer,wall,blue,green,marble",0.00,
In such a place the sea had something of the monotony of a blue   green dado  for the chambers themselves were ruled throughout by a terrible tidiness not unlike the terrible tidiness of the sea ,place sea monotony blue green dado chambers ruled terrible tidiness unlike terrible tidiness sea,10.77,"place,sea,monotony,blue,green,dado,chambers,ruled,terrible,tidiness,unlike,terrible,tidiness,sea",0.00,
It must not be supposed that Dr Hood  s apartments excluded luxury  or even poetry ,supposed Dr Hood apartments excluded luxury poetry,9.64,"supposed,Dr,Hood,apartments,excluded,luxury,poetry",0.00,
These things were there  in their place  but one felt that they were never allowed out of their place ,things place felt allowed place,13.73,"things,place,felt,allowed,place",0.00,
Luxury was there  there stood upon a special table eight or ten boxes of the best cigars  but they were built upon a plan so that the strongest were always nearest the wall and the mildest nearest the window ,Luxury stood special table boxes best cigars built plan strongest nearest wall mildest nearest window,11.54,"Luxury,stood,special,table,boxes,best,cigars,built,plan,strongest,nearest,wall,mildest,nearest,window",0.00,
A tantalus containing three kinds of spirit  all of a liqueur excellence  stood always on this table of luxury  but the fanciful have asserted that the whisky  brandy  and rum seemed always to stand at the same level ,tantalus containing kinds spirit liqueur excellence stood table luxury fanciful asserted whisky brandy rum stand level,10.14,"tantalus,containing,kinds,spirit,liqueur,excellence,stood,table,luxury,fanciful,asserted,whisky,brandy,rum,stand,level",0.00,
Poetry was there  the left   hand corner of the room was lined with as complete a set of English classics as the right hand could show of English and foreign physiologists ,Poetry left hand corner room lined complete set English classics right hand English foreign physiologists,9.30,"Poetry,left,hand,corner,room,lined,complete,set,English,classics,right,hand,English,foreign,physiologists",0.00,
But if one took a volume of Chaucer or Shelley from that rank  its absence irritated the mind like a gap in a man  s front teeth ,took volume Chaucer Shelley rank absence irritated mind like gap man teeth,11.63,"took,volume,Chaucer,Shelley,rank,absence,irritated,mind,like,gap,man,teeth",0.00,
One could not say the books were never read  probably they were  but there was a sense of their being chained to their places  like the Bibles in the old churches ,books read probably sense chained places like Bibles old churches,12.88,"books,read,probably,sense,chained,places,like,Bibles,old,churches",0.00,
Dr Hood treated his private book   shelf as if it were a public library ,Dr Hood treated private book shelf public library,8.33,"Dr,Hood,treated,private,book,shelf,public,library",0.00,
And if this strict scientific intangibility steeped even the shelves laden with lyrics and ballads and the tables laden with drink and tobacco  it goes without saying that yet more of such heathen holiness protected the other shelves that held the specialist  s library  and the other tables that sustained the frail and even fairylike instruments of chemistry or mechanics ,strict scientific intangibility steeped shelves laden lyrics ballads tables laden drink tobacco goes saying heathen holiness protected shelves held specialist library tables sustained frail fairylike instruments chemistry mechanics,8.56,"strict,scientific,intangibility,steeped,shelves,laden,lyrics,ballads,tables,laden,drink,tobacco,goes,saying,heathen,holiness,protected,shelves,held,specialist,library,tables,sustained,frail,fairylike,instruments,chemistry,mechanics",0.00,
Dr Hood paced the length of his string of apartments  bounded    as the boys  geographies say    on the east by the North Sea and on the west by the serried ranks of his sociological and criminologist library ,Dr Hood paced length string apartments bounded boys geographies east North Sea west serried ranks sociological criminologist library,9.09,"Dr,Hood,paced,length,string,apartments,bounded,boys,geographies,east,North,Sea,west,serried,ranks,sociological,criminologist,library",0.00,
He was clad in an artist  s velvet  but with none of an artist  s negligence  his hair was heavily shot with grey  but growing thick and healthy  his face was lean  but sanguine and expectant ,clad artist velvet artist negligence hair heavily shot grey growing thick healthy face lean sanguine expectant,10.42,"clad,artist,velvet,artist,negligence,hair,heavily,shot,grey,growing,thick,healthy,face,lean,sanguine,expectant",0.00,
Everything about him and his room indicated something at once rigid and restless  like that great northern sea by which  he had built his home ,room indicated rigid restless like great northern sea built home,10.49,"room,indicated,rigid,restless,like,great,northern,sea,built,home",0.00,
Fate  being in a funny mood  pushed the door open and introduced into those long  strict  sea   flanked apartments one who was perhaps the most startling opposite of them and their master ,Fate funny mood pushed door open introduced long strict sea flanked apartments startling opposite master,9.04,"Fate,funny,mood,pushed,door,open,introduced,long,strict,sea,flanked,apartments,startling,opposite,master",0.00,
