Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"a mouse  is a small rodent characteristically mice are known to have a pointed snout small rounded ears a body length scaly tail and a high breeding rate the best known mouse species is the common house mouse  mice are also popular as pets in some places certain kinds of field mice are locally common they are known to invade homes for food and shelter 
",mouse small rodent characteristically mice known pointed snout small rounded ears body length scaly tail high breeding rate best known mouse species common house mouse mice popular pets places certain kinds field mice locally common known invade homes food shelter,7.04,"mouse,small,rodent,characteristically,mice,known,pointed,snout,small,rounded,ears,body,length,scaly,tail,high,breeding,rate,best,known,mouse,species,common,house,mouse,mice,popular,pets,places,certain,kinds,field,mice,locally,common,known,invade,homes,food,shelter",0.00,mouse
"mice are typically distinguished from rats by their size generally when a muroid rodent is discovered its common name includes the term mouse if it is smaller or rat if it is larger the common terms rat and mouse are not taxonomically specific typical mice are classified in the genus mus but the term mouse is not confined to members of mus and can also apply to species from other genera such as the deer mouse peromyscus
",mice typically distinguished rats size generally muroid rodent discovered common includes term mouse smaller rat larger common terms rat mouse taxonomically specific typical mice classified genus mus term mouse confined members mus apply species genera deer mouse peromyscus,9.20,"mice,typically,distinguished,rats,size,generally,muroid,rodent,discovered,common,includes,term,mouse,smaller,rat,larger,common,terms,rat,mouse,taxonomically,specific,typical,mice,classified,genus,mus,term,mouse,confined,members,mus,apply,species,genera,deer,mouse,peromyscus",0.00,mouse
"domestic mice sold as pets often differ substantially in size from the common house mouse this is attributable to breeding and different conditions in the wild the best known strain of mouse is the white lab mouse it has more uniform traits that are appropriate to its use in research
",domestic mice sold pets differ substantially size common house mouse attributable breeding different conditions wild best known strain mouse white lab mouse uniform traits appropriate use research,8.07,"domestic,mice,sold,pets,differ,substantially,size,common,house,mouse,attributable,breeding,different,conditions,wild,best,known,strain,mouse,white,lab,mouse,uniform,traits,appropriate,use,research",0.00,mouse
"cats wild dogs foxes birds of prey snakes and even certain kinds of arthropods have been known to prey heavily upon mice despite this mice populations remain plentiful due to its remarkable adaptability to almost any environment the mouse is one of the most successful mammalian genera living on earth today
",cats wild dogs foxes birds prey snakes certain kinds arthropods known prey heavily mice despite mice populations remain plentiful remarkable adaptability environment mouse successful mammalian genera living earth today,7.14,"cats,wild,dogs,foxes,birds,prey,snakes,certain,kinds,arthropods,known,prey,heavily,mice,despite,mice,populations,remain,plentiful,remarkable,adaptability,environment,mouse,successful,mammalian,genera,living,earth,today",0.00,mouse
"in certain contexts mice can be considered vermin vermin are a major source of crop damage as they are known to cause structural damage and spread disease mice spread disease through their feces and are often carriers of parasites in north america breathing dust that has come in contact with mouse excrement has been linked to hantavirus which may lead to hantavirus pulmonary syndrome 
",certain contexts mice considered vermin vermin major source crop damage known cause structural damage spread disease mice spread disease feces carriers parasites north america breathing dust come contact mouse excrement linked hantavirus lead hantavirus pulmonary syndrome,7.22,"certain,contexts,mice,considered,vermin,vermin,major,source,crop,damage,known,cause,structural,damage,spread,disease,mice,spread,disease,feces,carriers,parasites,north,america,breathing,dust,come,contact,mouse,excrement,linked,hantavirus,lead,hantavirus,pulmonary,syndrome",0.00,mouse
"in nature mice are largely herbivores consuming any kind of fruit or grain from plants however mice adapt well to urban areas and are known for eating almost all types of food scraps in captivity mice are commonly fed commercial pelleted mouse diet these diets are nutritionally complete but they still need a large variety of vegetables
",nature mice largely herbivores consuming kind fruit grain plants mice adapt urban areas known eating types food scraps captivity mice commonly fed commercial pelleted mouse diet diets nutritionally complete need large variety vegetables,7.10,"nature,mice,largely,herbivores,consuming,kind,fruit,grain,plants,mice,adapt,urban,areas,known,eating,types,food,scraps,captivity,mice,commonly,fed,commercial,pelleted,mouse,diet,diets,nutritionally,complete,need,large,variety,vegetables",0.00,mouse
"mice are common experimental animals in laboratory research of biology and psychology fields primarily because they are mammals and also because they share a high degree of homology with humans they are the most commonly used mammalian model organism more common than rats the mouse genome has been sequenced and virtually all mouse genes have human homologs the mouse has approximately  billion base pairs and  pairs of chromosomes
they can also be manipulated in ways that are illegal with humans although animal rights activists often object a knockout mouse is a genetically modified mouse that has had one or more of its genes made inoperable through a gene knockout
",mice common experimental animals laboratory research biology psychology fields primarily mammals share high degree homology humans commonly mammalian model organism common rats mouse genome sequenced virtually mouse genes human homologs mouse approximately billion base pairs pairs chromosomesthey manipulated ways illegal humans animal rights activists object knockout mouse genetically modified mouse genes inoperable gene knockout,8.18,"mice,common,experimental,animals,laboratory,research,biology,psychology,fields,primarily,mammals,share,high,degree,homology,humans,commonly,mammalian,model,organism,common,rats,mouse,genome,sequenced,virtually,mouse,genes,human,homologs,mouse,approximately,billion,base,pairs,pairs,chromosomesthey,manipulated,ways,illegal,humans,animal,rights,activists,object,knockout,mouse,genetically,modified,mouse,genes,inoperable,gene,knockout",0.00,mouse
"many people buy mice as companion pets they can be playful loving and can grow used to being handled like pet rats pet mice should not be left unsupervised outside as they have many natural predators including  birds snakes lizards cats and dogs male mice tend to have a stronger odor than the females  however mice are careful groomers and as pets they never need bathing  well looked after mice can make ideal pets some common mouse care products are
",people buy mice companion pets playful loving grow handled like pet rats pet mice left unsupervised outside natural predators including birds snakes lizards cats dogs male mice tend stronger odor females mice careful groomers pets need bathing looked mice ideal pets common mouse care products,7.73,"people,buy,mice,companion,pets,playful,loving,grow,handled,like,pet,rats,pet,mice,left,unsupervised,outside,natural,predators,including,birds,snakes,lizards,cats,dogs,male,mice,tend,stronger,odor,females,mice,careful,groomers,pets,need,bathing,looked,mice,ideal,pets,common,mouse,care,products",0.00,mouse
"humans have eaten mice since prehistoric times in victorian britain fried mice were still given to children as a folk remedy for bed wetting while jared diamond reports creamed mice being used in england as a dietary supplement during ww ii rationing mice are a delicacy throughout eastern zambia and northern malawi where they are a seasonal source of protein field rat is a popular food in vietnam and neighboring countries in many countries however mouse is no longer a food item
",humans eaten mice prehistoric times victorian britain fried mice given children folk remedy bed wetting jared diamond reports creamed mice england dietary supplement ww ii rationing mice delicacy eastern zambia northern malawi seasonal source protein field rat popular food vietnam neighboring countries countries mouse longer food item,7.25,"humans,eaten,mice,prehistoric,times,victorian,britain,fried,mice,given,children,folk,remedy,bed,wetting,jared,diamond,reports,creamed,mice,england,dietary,supplement,ww,ii,rationing,mice,delicacy,eastern,zambia,northern,malawi,seasonal,source,protein,field,rat,popular,food,vietnam,neighboring,countries,countries,mouse,longer,food,item",0.00,mouse
"prescribed cures in ancient egypt included mice as medicine in ancient egypt when infants were ill mice were eaten as treatment by their mothers it was believed that mouse eating by the mother would help heal the baby who was ill
",prescribed cures ancient egypt included mice medicine ancient egypt infants ill mice eaten treatment mothers believed mouse eating mother help heal baby ill,7.83,"prescribed,cures,ancient,egypt,included,mice,medicine,ancient,egypt,infants,ill,mice,eaten,treatment,mothers,believed,mouse,eating,mother,help,heal,baby,ill",0.00,mouse
