Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
Their estate was large  and their residence was at Norland Park  in the centre of their property  where  for many generations  they had lived in so respectable a manner as to engage the general good opinion of their surrounding acquaintance ,estate large residence Norland Park centre property generations lived respectable manner engage general good opinion surrounding acquaintance,9.54,"estate,large,residence,Norland,Park,centre,property,generations,lived,respectable,manner,engage,general,good,opinion,surrounding,acquaintance",0.00,
The late owner of this estate was a single man  who lived to a very advanced age  and who for many years of his life  had a constant companion and housekeeper in his sister ,late owner estate single man lived advanced age years life constant companion housekeeper sister,11.56,"late,owner,estate,single,man,lived,advanced,age,years,life,constant,companion,housekeeper,sister",0.00,
But her death  which happened ten years before his own  produced a great alteration in his home  for to supply her loss  he invited and received into his house the family of his nephew Mr  Henry Dashwood  the legal inheritor of the Norland estate  and the person to whom he intended to bequeath it ,death happened years produced great alteration home supply loss invited received house family nephew Mr Henry Dashwood legal inheritor Norland estate person intended bequeath,10.07,"death,happened,years,produced,great,alteration,home,supply,loss,invited,received,house,family,nephew,Mr,Henry,Dashwood,legal,inheritor,Norland,estate,person,intended,bequeath",0.00,
In the society of his nephew and niece  and their children  the old Gentleman  s days were comfortably spent ,society nephew niece children old Gentleman days comfortably spent,9.17,"society,nephew,niece,children,old,Gentleman,days,comfortably,spent",0.00,
The constant attention of Mr  and Mrs  Henry Dashwood to his wishes  which proceeded not merely from interest  but from goodness of heart  gave him every degree of solid comfort which his age could receive  and the cheerfulness of the children added a relish to his existence ,constant attention Mr Mrs Henry Dashwood wishes proceeded merely interest goodness heart gave degree solid comfort age receive cheerfulness children added relish existence,8.70,"constant,attention,Mr,Mrs,Henry,Dashwood,wishes,proceeded,merely,interest,goodness,heart,gave,degree,solid,comfort,age,receive,cheerfulness,children,added,relish,existence",0.00,
By a former marriage  Mr  Henry Dashwood had one son  by his present lady  three daughters ,marriage Mr Henry Dashwood son present lady daughters,8.79,"marriage,Mr,Henry,Dashwood,son,present,lady,daughters",0.00,
The son  a steady respectable young man  was amply provided for by the fortune of his mother  which had been large  and half of which devolved on him on his coming of age ,son steady respectable young man amply provided fortune mother large half devolved coming age,11.11,"son,steady,respectable,young,man,amply,provided,fortune,mother,large,half,devolved,coming,age",0.00,
By his own marriage  likewise  which happened soon afterwards  he added to his wealth ,marriage likewise happened soon added wealth,9.30,"marriage,likewise,happened,soon,added,wealth",0.00,
To him therefore the succession to the Norland estate was not so really important as to his sisters  for their fortune  independent of what might arise to them from their father  s inheriting that property  could be but small ,succession Norland estate important sisters fortune independent arise father inheriting property small,11.95,"succession,Norland,estate,important,sisters,fortune,independent,arise,father,inheriting,property,small",0.00,
Their mother had nothing  and their father only seven thousand pounds in his own disposal  for the remaining moiety of his first wife  s fortune was also secured to her child  and he had only a life   interest in it ,mother father seven thousand pounds disposal remaining moiety wife fortune secured child life interest,12.04,"mother,father,seven,thousand,pounds,disposal,remaining,moiety,wife,fortune,secured,child,life,interest",0.00,
The old gentleman died  his will was read  and like almost every other will  gave as much disappointment as pleasure ,old gentleman died read like gave disappointment pleasure,10.26,"old,gentleman,died,read,like,gave,disappointment,pleasure",0.00,
He was neither so unjust  nor so ungrateful  as to leave his estate from his nephew    but he left it to him on such terms as destroyed half the value of the bequest ,unjust ungrateful leave estate nephew left terms destroyed half value bequest,13.25,"unjust,ungrateful,leave,estate,nephew,left,terms,destroyed,half,value,bequest",0.00,
Mr  Dashwood had wished for it more for the sake of his wife and daughters than for himself or his son    but to his son  and his son  s son  a child of four years old  it was secured  in such a way  as to leave to himself no power of providing for those who were most dear to him  and who most needed a provision by any charge on the estate  or by any sale of its valuable woods ,Mr Dashwood wished sake wife daughters son son son son child years old secured way leave power providing dear needed provision charge estate sale valuable woods,14.21,"Mr,Dashwood,wished,sake,wife,daughters,son,son,son,son,child,years,old,secured,way,leave,power,providing,dear,needed,provision,charge,estate,sale,valuable,woods",0.00,
The whole was tied up for the benefit of this child  who  in occasional visits with his father and mother at Norland  had so far gained on the affections of his uncle  by such attractions as are by no means unusual in children of two or three years old  an imperfect articulation  an earnest desire of having his own way  many cunning tricks  and a great deal of noise  as to outweigh all the value of all the attention which  for years  he had received from his niece and her daughters ,tied benefit child occasional visits father mother Norland far gained affections uncle attractions means unusual children years old imperfect articulation earnest desire way cunning tricks great deal noise outweigh value attention years received niece daughters,11.50,"tied,benefit,child,occasional,visits,father,mother,Norland,far,gained,affections,uncle,attractions,means,unusual,children,years,old,imperfect,articulation,earnest,desire,way,cunning,tricks,great,deal,noise,outweigh,value,attention,years,received,niece,daughters",0.00,
He meant not to be unkind  however  and  as a mark of his affection for the three girls  he left them a thousand pounds a   piece ,meant unkind mark affection girls left thousand pounds piece,13.08,"meant,unkind,mark,affection,girls,left,thousand,pounds,piece",0.00,
Mr  Dashwood  s disappointment was  at first  severe  but his temper was cheerful and sanguine  and he might reasonably hope to live many years  and by living economically  lay by a considerable sum from the produce of an estate already large  and capable of almost immediate improvement ,Mr Dashwood disappointment severe temper cheerful sanguine reasonably hope live years living economically lay considerable sum produce estate large capable immediate improvement,8.68,"Mr,Dashwood,disappointment,severe,temper,cheerful,sanguine,reasonably,hope,live,years,living,economically,lay,considerable,sum,produce,estate,large,capable,immediate,improvement",0.00,
But the fortune  which had been so tardy in coming  was his only one twelvemonth ,fortune tardy coming twelvemonth,13.58,"fortune,tardy,coming,twelvemonth",0.00,
He survived his uncle no longer  and ten thousand pounds  including the late legacies  was all that remained for his widow and daughters ,survived uncle longer thousand pounds including late legacies remained widow daughters,8.76,"survived,uncle,longer,thousand,pounds,including,late,legacies,remained,widow,daughters",0.00,
His son was sent for as soon as his danger was known  and to him Mr  Dashwood recommended  with all the strength and urgency which illness could command  the interest of his mother   in   law and sisters ,son sent soon danger known Mr Dashwood recommended strength urgency illness command interest mother law sisters,10.29,"son,sent,soon,danger,known,Mr,Dashwood,recommended,strength,urgency,illness,command,interest,mother,law,sisters",0.00,
Mr  John Dashwood had not the strong feelings of the rest of the family  but he was affected by a recommendation of such a nature at such a time  and he promised to do every thing in his power to make them comfortable ,Mr John Dashwood strong feelings rest family affected recommendation nature time promised thing power comfortable,12.84,"Mr,John,Dashwood,strong,feelings,rest,family,affected,recommendation,nature,time,promised,thing,power,comfortable",0.00,
His father was rendered easy by such an assurance  and Mr  John Dashwood had then leisure to consider how much there might prudently be in his power to do for them ,father rendered easy assurance Mr John Dashwood leisure consider prudently power,12.20,"father,rendered,easy,assurance,Mr,John,Dashwood,leisure,consider,prudently,power",0.00,
He was not an ill   disposed young man  unless to be rather cold hearted and rather selfish is to be ill   disposed  but he was  in general  well respected  for he conducted himself with propriety in the discharge of his ordinary duties ,ill disposed young man cold hearted selfish ill disposed general respected conducted propriety discharge ordinary duties,10.97,"ill,disposed,young,man,cold,hearted,selfish,ill,disposed,general,respected,conducted,propriety,discharge,ordinary,duties",0.00,
Had he married a more amiable woman  he might have been made still more respectable than he was    he might even have been made amiable himself  for he was very young when he married  and very fond of his wife ,married amiable woman respectable amiable young married fond wife,14.76,"married,amiable,woman,respectable,amiable,young,married,fond,wife",0.00,
But Mrs  John Dashwood was a strong caricature of himself    more narrow   minded and selfish ,Mrs John Dashwood strong caricature narrow minded selfish,7.45,"Mrs,John,Dashwood,strong,caricature,narrow,minded,selfish",0.00,
When he gave his promise to his father  he meditated within himself to increase the fortunes of his sisters by the present of a thousand pounds a   piece ,gave promise father meditated increase fortunes sisters present thousand pounds piece,11.04,"gave,promise,father,meditated,increase,fortunes,sisters,present,thousand,pounds,piece",0.00,
The prospect of four thousand a   year  in addition to his present income  besides the remaining half of his own mother  s fortune  warmed his heart  and made him feel capable of generosity     Yes  he would give them three thousand pounds  it would be liberal and handsome ,prospect thousand year addition present income remaining half mother fortune warmed heart feel capable generosity Yes thousand pounds liberal handsome,9.85,"prospect,thousand,year,addition,present,income,remaining,half,mother,fortune,warmed,heart,feel,capable,generosity,Yes,thousand,pounds,liberal,handsome",0.00,
he could spare so considerable a sum with little inconvenience ,spare considerable sum little inconvenience,7.94,"spare,considerable,sum,little,inconvenience",0.00,
   He thought of it all day long  and for many days successively  and he did not repent ,thought day long days successively repent,12.50,"thought,day,long,days,successively,repent",0.00,
No sooner was his father  s funeral over  than Mrs  John Dashwood  without sending any notice of her intention to her mother   in   law  arrived with her child and their attendants ,sooner father funeral Mrs John Dashwood sending notice intention mother law arrived child attendants,9.39,"sooner,father,funeral,Mrs,John,Dashwood,sending,notice,intention,mother,law,arrived,child,attendants",0.00,
No one could dispute her right to come  the house was her husband  s from the moment of his father  s decease  but the indelicacy of her conduct was so much the greater  and to a woman in Mrs  Dashwood  s situation  with only common feelings  must have been highly unpleasing    but in HER mind there was a sense of honor so keen  a generosity so romantic  that any offence of the kind  by whomsoever given or received  was to her a source of immoveable disgust ,dispute right come house husband moment father decease indelicacy conduct greater woman Mrs Dashwood situation common feelings highly unpleasing mind sense honor keen generosity romantic offence kind whomsoever given received source immoveable disgust,11.47,"dispute,right,come,house,husband,moment,father,decease,indelicacy,conduct,greater,woman,Mrs,Dashwood,situation,common,feelings,highly,unpleasing,mind,sense,honor,keen,generosity,romantic,offence,kind,whomsoever,given,received,source,immoveable,disgust",0.00,
Mrs  John Dashwood had never been a favourite with any of her husband  s family  but she had had no opportunity  till the present  of shewing them with how little attention to the comfort of other people she could act when occasion required it ,Mrs John Dashwood favourite husband family opportunity till present shewing little attention comfort people act occasion required,11.07,"Mrs,John,Dashwood,favourite,husband,family,opportunity,till,present,shewing,little,attention,comfort,people,act,occasion,required",0.00,
So acutely did Mrs  Dashwood feel this ungracious behaviour  and so earnestly did she despise her daughter   in   law for it  that  on the arrival of the latter  she would have quitted the house for ever  had not the entreaty of her eldest girl induced her first to reflect on the propriety of going  and her own tender love for all her three children determined her afterwards to stay  and for their sakes avoid a breach with their brother ,acutely Mrs Dashwood feel ungracious behaviour earnestly despise daughter law arrival quitted house entreaty eldest girl induced reflect propriety going tender love children determined stay sakes avoid breach brother,11.34,"acutely,Mrs,Dashwood,feel,ungracious,behaviour,earnestly,despise,daughter,law,arrival,quitted,house,entreaty,eldest,girl,induced,reflect,propriety,going,tender,love,children,determined,stay,sakes,avoid,breach,brother",0.00,
