Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
Buster Bear yawned as he lay on his comfortable bed of leaves and watched the first early morning sunbeams creeping through the Green Forest to chase out the Black Shadows ,Buster Bear yawned lay comfortable bed leaves watched early morning sunbeams creeping Green Forest chase Black Shadows,7.56,"Buster,Bear,yawned,lay,comfortable,bed,leaves,watched,early,morning,sunbeams,creeping,Green,Forest,chase,Black,Shadows",0.00,
Once more he yawned  and slowly got to his feet and shook himself ,yawned slowly got feet shook,12.12,"yawned,slowly,got,feet,shook",0.00,
Then he walked over to a big pine   tree  stood up on his hind legs  reached as high up on the trunk of the tree as he could  and scratched the bark with his great claws ,walked big pine tree stood hind legs reached high trunk tree scratched bark great claws,12.35,"walked,big,pine,tree,stood,hind,legs,reached,high,trunk,tree,scratched,bark,great,claws",0.00,
After that he yawned until it seemed as if his jaws would crack  and then sat down to think what he wanted for breakfast ,yawned jaws crack sat think wanted breakfast,14.05,"yawned,jaws,crack,sat,think,wanted,breakfast",0.00,
While he sat there  trying to make up his mind what would taste best  he was listening to the sounds that told of the waking of all the little people who live in the Green Forest ,sat trying mind taste best listening sounds told waking little people live Green Forest,12.29,"sat,trying,mind,taste,best,listening,sounds,told,waking,little,people,live,Green,Forest",0.00,
He heard Sammy Jay way off in the distance screaming   Thief ,heard Sammy Jay way distance screaming Thief,6.56,"heard,Sammy,Jay,way,distance,screaming,Thief",0.00,
 I wonder  thought Buster   if some one has stolen Sammy  s breakfast  or if he has stolen the breakfast of some one else ,wonder thought Buster stolen Sammy breakfast stolen breakfast,12.30,"wonder,thought,Buster,stolen,Sammy,breakfast,stolen,breakfast",0.00,
He heard Chatterer the Red Squirrel scolding as fast as he could make his tongue go and working himself into a terrible rage ,heard Chatterer Red Squirrel scolding fast tongue working terrible rage,10.40,"heard,Chatterer,Red,Squirrel,scolding,fast,tongue,working,terrible,rage",0.00,
 Must be that Chatterer got out of bed the wrong way this morning  thought he ,Chatterer got bed wrong way morning thought,10.26,"Chatterer,got,bed,wrong,way,morning,thought",0.00,
He heard Blacky the Crow cawing at the top of his lungs  and he knew by the sound that Blacky was getting into mischief of some kind ,heard Blacky Crow cawing lungs knew sound Blacky getting mischief kind,12.03,"heard,Blacky,Crow,cawing,lungs,knew,sound,Blacky,getting,mischief,kind",0.00,
He heard the sweet voices of happy little singers  and they were good to hear ,heard sweet voices happy little singers good hear,8.97,"heard,sweet,voices,happy,little,singers,good,hear",0.00,
But most of all he listened to a merry  low  silvery laugh that never stopped but went on and on  until he just felt as if he must laugh too ,listened merry low silvery laugh stopped went felt laugh,14.89,"listened,merry,low,silvery,laugh,stopped,went,felt,laugh",0.00,
It was the voice of the Laughing Brook ,voice Laughing Brook,12.82,"voice,Laughing,Brook",0.00,
And as Buster listened it suddenly came to him just what he wanted for breakfast ,Buster listened suddenly came wanted breakfast,11.11,"Buster,listened,suddenly,came,wanted,breakfast",0.00,
 I  m going fishing  said he in his deep grumbly   rumbly voice to no one in particular ,going fishing said deep grumbly rumbly voice particular,10.23,"going,fishing,said,deep,grumbly,rumbly,voice,particular",0.00,
 Yes  Sir  I  m going fishing ,Yes Sir going fishing,6.67,"Yes,Sir,going,fishing",0.00,
I want some fat trout for my breakfast ,want fat trout breakfast,10.26,"want,fat,trout,breakfast",0.00,
He shuffled along over to the Laughing Brook  and straight to a little pool of which he knew  and as he drew near he took the greatest care not to make the teeniest  weeniest bit of noise ,shuffled Laughing Brook straight little pool knew drew near took greatest care teeniest weeniest bit noise,11.17,"shuffled,Laughing,Brook,straight,little,pool,knew,drew,near,took,greatest,care,teeniest,weeniest,bit,noise",0.00,
Now it just happened that early as he was  some one was before Buster Bear ,happened early Buster Bear,14.67,"happened,early,Buster,Bear",0.00,
When he came in sight of the little pool  who should he see but another fisherman there  who had already caught a fine fat trout ,came sight little pool fisherman caught fine fat trout,12.40,"came,sight,little,pool,fisherman,caught,fine,fat,trout",0.00,
Why  Little Joe Otter to be sure ,Little Joe Otter sure,9.09,"Little,Joe,Otter,sure",0.00,
He was just climbing up the bank with the fat trout in his mouth ,climbing bank fat trout mouth,13.85,"climbing,bank,fat,trout,mouth",0.00,
Buster Bear  s own mouth watered as he saw it ,Buster Bear mouth watered saw,10.87,"Buster,Bear,mouth,watered,saw",0.00,
Little Joe sat down on the bank and prepared to enjoy his breakfast ,Little Joe sat bank prepared enjoy breakfast,8.82,"Little,Joe,sat,bank,prepared,enjoy,breakfast",0.00,
He hadn  t seen Buster Bear  and he didn  t know that he or any one else was anywhere near ,seen Buster Bear know near,16.48,"seen,Buster,Bear,know,near",0.00,
Buster Bear tiptoed up very softly until he was right behind Little Joe Otter ,Buster Bear tiptoed softly right Little Joe Otter,7.69,"Buster,Bear,tiptoed,softly,right,Little,Joe,Otter",0.00,
said he in his deepest  most grumbly   rumbly voice ,said deepest grumbly rumbly voice,7.69,"said,deepest,grumbly,rumbly,voice",0.00,
 That  s a very fine looking trout ,fine looking trout,11.43,"fine,looking,trout",0.00,
