Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"real madrid club de ftbol  meaning royal madrid football club commonly referred to as real madrid is a spanish professional football club based in madrid
",real madrid club de ftbol meaning royal madrid football club commonly referred real madrid spanish professional football club based madrid,3.25,"real,madrid,club,de,ftbol,meaning,royal,madrid,football,club,commonly,referred,real,madrid,spanish,professional,football,club,based,madrid",0.00,real
"founded in  as madrid football club the club has traditionally worn a white home kit since its inception the honorific title real is spanish for royal and was bestowed to the club by king alfonso xiii in  together with the royal crown in the emblem real madrid have played their home matches in the  capacity santiago bernabyou stadium in downtown madrid since  unlike most european sporting entities real madrids members  have owned and operated the club throughout its history
",founded madrid football club club traditionally worn white home kit inception honorific title real spanish royal bestowed club king alfonso xiii royal crown emblem real madrid played home matches capacity santiago bernabyou stadium downtown madrid unlike european sporting entities real madrids members owned operated club history,6.89,"founded,madrid,football,club,club,traditionally,worn,white,home,kit,inception,honorific,title,real,spanish,royal,bestowed,club,king,alfonso,xiii,royal,crown,emblem,real,madrid,played,home,matches,capacity,santiago,bernabyou,stadium,downtown,madrid,unlike,european,sporting,entities,real,madrids,members,owned,operated,club,history",0.00,real
"real madrid is one of the most widely supported teams internationally the club was estimated to be worth  billion in  making it the worlds most valuable football team in  it was the second highest earning football club in the world with an annual revenue of  million
",real madrid widely supported teams internationally club estimated worth billion making worlds valuable football team second highest earning football club world annual revenue million,8.24,"real,madrid,widely,supported,teams,internationally,club,estimated,worth,billion,making,worlds,valuable,football,team,second,highest,earning,football,club,world,annual,revenue,million",0.00,real
"being one of the three founding members of la liga that have never been relegated from the top division since its inception in   real madrid holds many long standing rivalries most notably el clsico with barcelona and el derbi madrileo with atltico madrid the club established itself as a major force in both spanish and european football during the s and s winning five consecutive and six overall european cups and reaching a further two finals this success was replicated on the domestic front with madrid winning twelve league titles in the span of  years this team which included alfredo di stfano ferenc pusks francisco gento and raymond kopa is considered by some in the sport to be the greatest of all timeon june   madrid signed cristiano ronaldo for a record breaking  million  pounds who went on becoming their most successful player of all time winning  titles with them and becoming their all time top goalscorer
",founding members la liga relegated division inception real madrid holds long standing rivalries notably el clsico barcelona el derbi madrileo atltico madrid club established major force spanish european football winning consecutive overall european cups reaching finals success replicated domestic madrid winning league titles span years team included alfredo di stfano ferenc pusks francisco gento raymond kopa considered sport greatest timeon june madrid signed cristiano ronaldo record breaking million pounds went successful player time winning titles time goalscorer,8.53,"founding,members,la,liga,relegated,division,inception,real,madrid,holds,long,standing,rivalries,notably,el,clsico,barcelona,el,derbi,madrileo,atltico,madrid,club,established,major,force,spanish,european,football,winning,consecutive,overall,european,cups,reaching,finals,success,replicated,domestic,madrid,winning,league,titles,span,years,team,included,alfredo,di,stfano,ferenc,pusks,francisco,gento,raymond,kopa,considered,sport,greatest,timeon,june,madrid,signed,cristiano,ronaldo,record,breaking,million,pounds,went,successful,player,time,winning,titles,time,goalscorer",0.00,real
"in domestic football the club has won  trophies a record  la liga titles  copa del rey  supercopa de espaa a copa eva duarte and a copa de la liga in european football real madrid have won a record  trophiesnote  a record  european cupuefa champions league titles two uefa cups and a recordnote  five uefa super cups in worldwide competitions they have achieved a record eight club world championshipsnote 
",domestic football club trophies record la liga titles copa del rey supercopa de espaa copa eva duarte copa de la liga european football real madrid record trophiesnote record european cupuefa champions league titles uefa cups recordnote uefa super cups worldwide competitions achieved record club world championshipsnote,5.41,"domestic,football,club,trophies,record,la,liga,titles,copa,del,rey,supercopa,de,espaa,copa,eva,duarte,copa,de,la,liga,european,football,real,madrid,record,trophiesnote,record,european,cupuefa,champions,league,titles,uefa,cups,recordnote,uefa,super,cups,worldwide,competitions,achieved,record,club,world,championshipsnote",0.00,real
"considered as one of the most sucessful club of the st century real madrid was recognised as the fifa club of the century on  december  with  of the vote and received the fifa centennial order of merit on  may  the club was also named best european club of the th century by the iffhs on  may  real madrid is the only club to have win three consecutive titles in the champions league twice first in     and second in       in may  they won a record extending fourteenth european cup in  uefa champions league making it five titles in the last nine seasons real madrid is the first club across all of europes top five leagues to win  trophies from all competitions as of december update real madrid are ranked fifth behind bayern munich manchester city liverpool and chelsea in the uefa club rankings
",considered sucessful club st century real madrid recognised fifa club century december vote received fifa centennial order merit club named best european club th century iffhs real madrid club win consecutive titles champions league twice second record extending fourteenth european cup uefa champions league making titles seasons real madrid club europes leagues win trophies competitions decemberupdate real madrid ranked fifth bayern munich manchester city liverpool chelsea uefa club rankings,9.00,"considered,sucessful,club,st,century,real,madrid,recognised,fifa,club,century,december,vote,received,fifa,centennial,order,merit,club,named,best,european,club,th,century,iffhs,real,madrid,club,win,consecutive,titles,champions,league,twice,second,record,extending,fourteenth,european,cup,uefa,champions,league,making,titles,seasons,real,madrid,club,europes,leagues,win,trophies,competitions,decemberupdate,real,madrid,ranked,fifth,bayern,munich,manchester,city,liverpool,chelsea,uefa,club,rankings",0.00,real
"real madrids origins go back to when football was introduced to madrid by the academics and students of the institucin libre de enseanza which included several cambridge and oxford university graduates they founded  sky football in  commonly known as la sociedad  as it was the only one based in madrid playing on sunday mornings at moncloa in  conflict between members caused some of them to leave and create a new club nueva sociedad de football  to distinguish themselves from sky football among the dissenters were julin palacios recognized as the first real madrid president juan padrs and carlos padrs the latter two being brothers and future presidents of real madrid in  this new club was renamed as madrid football club later following a restructuring in  sky was renamed as new foot ball club on  march  after a new board presided by juan padrs had been elected madrid football club was officially founded the padrs brothers summoned other football enthusiasts to a meeting in the back room of al capricho the family business they viewed football as a mass sport that should be accessible to representatives of all social classes and thought the new club should embody that idea the brothers proposed the name madrid football club which was unanimously accepted the membership fee was also set two pesetas a month and the color of the shirt was chosen to be white in honor of a famous english team corinthian fc which juan padrs had met on one of his trips
",real madrids origins football introduced madrid academics students institucin libre de enseanza included cambridge oxford university graduates founded sky football commonly known la sociedad based madrid playing sunday mornings moncloa conflict members caused leave create new club nueva sociedad de football distinguish sky football dissenters julin palacios recognized real madrid president juan padrs carlos padrs brothers future presidents real madrid new club renamed madrid football club later following restructuring sky renamed new foot ball club march new board presided juan padrs elected madrid football club officially founded padrs brothers summoned football enthusiasts meeting room al capricho family business viewed football mass sport accessible representatives social classes thought new club embody idea brothers proposed madrid football club unanimously accepted membership fee set pesetas month color shirt chosen white honor famous english team corinthian fc juan padrs met trips,7.70,"real,madrids,origins,football,introduced,madrid,academics,students,institucin,libre,de,enseanza,included,cambridge,oxford,university,graduates,founded,sky,football,commonly,known,la,sociedad,based,madrid,playing,sunday,mornings,moncloa,conflict,members,caused,leave,create,new,club,nueva,sociedad,de,football,distinguish,sky,football,dissenters,julin,palacios,recognized,real,madrid,president,juan,padrs,carlos,padrs,brothers,future,presidents,real,madrid,new,club,renamed,madrid,football,club,later,following,restructuring,sky,renamed,new,foot,ball,club,march,new,board,presided,juan,padrs,elected,madrid,football,club,officially,founded,padrs,brothers,summoned,football,enthusiasts,meeting,room,al,capricho,family,business,viewed,football,mass,sport,accessible,representatives,social,classes,thought,new,club,embody,idea,brothers,proposed,madrid,football,club,unanimously,accepted,membership,fee,set,pesetas,month,color,shirt,chosen,white,honor,famous,english,team,corinthian,fc,juan,padrs,met,trips",0.00,real
"three years after its founding in  madrid fc won its first title after defeating athletic bilbao in the spanish cup final the club became one of the founding sides of the royal spanish football federation on  january  when club president adolfo melndez signed the foundation agreement of the spanish fa after moving between several grounds the team relocated to the campo de odonnell in  in  the clubs name was changed to real madrid after king alfonso xiii granted the title of real  to the club
",years founding madrid fc title defeating athletic bilbao spanish cup final club founding sides royal spanish football federation january club president adolfo melndez signed foundation agreement spanish fa moving grounds team relocated campo de odonnell clubs changed real madrid king alfonso xiii granted title real club,7.85,"years,founding,madrid,fc,title,defeating,athletic,bilbao,spanish,cup,final,club,founding,sides,royal,spanish,football,federation,january,club,president,adolfo,melndez,signed,foundation,agreement,spanish,fa,moving,grounds,team,relocated,campo,de,odonnell,clubs,changed,real,madrid,king,alfonso,xiii,granted,title,real,club",0.00,real
"in  the first spanish football league was founded real madrid led the first league season until the last match a loss to athletic bilbao meant they finished runners up to barcelona real madrid won its first league title in the  season and retained it the following year
",spanish football league founded real madrid led league season match loss athletic bilbao meant finished runners barcelona real madrid league title season retained following year,8.15,"spanish,football,league,founded,real,madrid,led,league,season,match,loss,athletic,bilbao,meant,finished,runners,barcelona,real,madrid,league,title,season,retained,following,year",0.00,real
"on  april  the arrival of the second spanish republic caused the club to lose the title real and the royal crown on its emblem going back to being named madrid football club until the end of the spanish civil war football continued during the second world war and on  june  madrid beat barcelona  in the second leg of the copa del generalsimo semi finals the spanish cup having been renamed in honor of general franconote  the first leg played at the les corts in catalonia had ended with barcelona winning  madrid complained about all the three goals that referee fombona fernndez had allowed for barcelona with the home supporters also whistling madrid throughout whom they accused of employing roughhouse tactics and fombona for allowing them to the newspaper ya reported the whistling as a clear intention to attack the representatives of spain barcelona fans were banned from traveling to madrid the day of the second leg the barcelona team were insulted and stones were thrown at their bus as soon as they left their hotel barcelonas striker mariano gonzalvo said of the incident five minutes before the game had started our penalty area was already full of coins barcelona goalkeeper lluis mir rarely approached his linewhen he did he was armed with stones as francisco calvet told the story they were shouting reds separatists a bottle just missed sospedra that would have killed him if it had hit him it was all set up
",april arrival second spanish republic caused club lose title real royal crown emblem going named madrid football club end spanish civil war football continued second world war june madrid beat barcelona second leg copa del generalsimo semi finals spanish cup renamed honor general franconote leg played les corts catalonia ended barcelona winning madrid complained goals referee fombona fernndez allowed barcelona home supporters whistling madrid accused employing roughhouse tactics fombona allowing newspaper ya reported whistling clear intention attack representatives spain barcelona fans banned traveling madrid day second leg barcelona team insulted stones thrown bus soon left hotel barcelonas striker mariano gonzalvo said incident minutes game started penalty area coins barcelona goalkeeper lluis mir rarely approached linewhen armed stones francisco calvet told story shouting reds separatists bottle missed sospedra killed hit set,7.98,"april,arrival,second,spanish,republic,caused,club,lose,title,real,royal,crown,emblem,going,named,madrid,football,club,end,spanish,civil,war,football,continued,second,world,war,june,madrid,beat,barcelona,second,leg,copa,del,generalsimo,semi,finals,spanish,cup,renamed,honor,general,franconote,leg,played,les,corts,catalonia,ended,barcelona,winning,madrid,complained,goals,referee,fombona,fernndez,allowed,barcelona,home,supporters,whistling,madrid,accused,employing,roughhouse,tactics,fombona,allowing,newspaper,ya,reported,whistling,clear,intention,attack,representatives,spain,barcelona,fans,banned,traveling,madrid,day,second,leg,barcelona,team,insulted,stones,thrown,bus,soon,left,hotel,barcelonas,striker,mariano,gonzalvo,said,incident,minutes,game,started,penalty,area,coins,barcelona,goalkeeper,lluis,mir,rarely,approached,linewhen,armed,stones,francisco,calvet,told,story,shouting,reds,separatists,bottle,missed,sospedra,killed,hit,set",0.00,real
