Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"swiss international air lines ag colloquially known as swiss is the flag carrier of switzerland operating scheduled services in europe and to north america south america africa and asia zurich airport serves as its sole hub and geneva airport as a focus city the airline was formed following the bankruptcy in  of swissair switzerlands then flag carrier the new airline was built around what had been swissairs regional subsidiary crossair swiss retains crossairs iata code lx  it assumed swissairs old icao code of swr  to maintain international traffic rights it is a member of star alliance and a subsidiary of the lufthansa group its headquarters are at euroairport basel mulhouse freiburg near basel switzerland and an office at zurich airport in kloten switzerland the companys registered office is in basel
",swiss international air lines ag colloquially known swiss flag carrier switzerland operating scheduled services europe north america south america africa asia zurich airport serves sole hub geneva airport focus city airline formed following bankruptcy swissair switzerlands flag carrier new airline built swissairs regional subsidiary crossair swiss retains crossairs iata code lx assumed swissairs old icao code swr maintain international traffic rights member star alliance subsidiary lufthansa group headquarters euroairport basel mulhouse freiburg near basel switzerland office zurich airport kloten switzerland companys registered office basel,5.65,"swiss,international,air,lines,ag,colloquially,known,swiss,flag,carrier,switzerland,operating,scheduled,services,europe,north,america,south,america,africa,asia,zurich,airport,serves,sole,hub,geneva,airport,focus,city,airline,formed,following,bankruptcy,swissair,switzerlands,flag,carrier,new,airline,built,swissairs,regional,subsidiary,crossair,swiss,retains,crossairs,iata,code,lx,assumed,swissairs,old,icao,code,swr,maintain,international,traffic,rights,member,star,alliance,subsidiary,lufthansa,group,headquarters,euroairport,basel,mulhouse,freiburg,near,basel,switzerland,office,zurich,airport,kloten,switzerland,companys,registered,office,basel",0.00,swiss
"swiss was formed after the  bankruptcy of swissair switzerlands former flag carrier forty percent of crossairs income came from swissair the new airline lost us billion from  to  swissairs biggest creditors credit suisse and ubs sold part of swissairs assets to crossair which had been swissairs regional counterpart at the time both swissair and crossair were part of the same holding company sairgroup crossair later changed its name to swiss international air lines and the new national airline officially started operations on  march  the airline was initially owned by institutional investors  the swiss confederation  cantons and communities  and others  swiss also owns subsidiaries swiss sun  and crossair europe  it has a total of  employees
",swiss formed bankruptcy swissair switzerlands flag carrier percent crossairs income came swissair new airline lost billion swissairs biggest creditors credit suisse ubs sold swissairs assets crossair swissairs regional counterpart time swissair crossair holding company sairgroup crossair later changed swiss international air lines new national airline officially started operations march airline initially owned institutional investors swiss confederation cantons communities swiss owns subsidiaries swiss sun crossair europe total employees,6.26,"swiss,formed,bankruptcy,swissair,switzerlands,flag,carrier,percent,crossairs,income,came,swissair,new,airline,lost,billion,swissairs,biggest,creditors,credit,suisse,ubs,sold,swissairs,assets,crossair,swissairs,regional,counterpart,time,swissair,crossair,holding,company,sairgroup,crossair,later,changed,swiss,international,air,lines,new,national,airline,officially,started,operations,march,airline,initially,owned,institutional,investors,swiss,confederation,cantons,communities,swiss,owns,subsidiaries,swiss,sun,crossair,europe,total,employees",0.00,swiss
"according to marcel biedermann the managing director of intercontinental markets for swiss there were three possibilities stay independent as a niche carrier shrink to an unrecognisable level or attach to another airline group the last choice was taken swiss talked to air franceklm british airways and lufthansa however swiss was tied up with debt and an uncertain future and seemed to be an unattractive investment after merging with klm air france said they were too busy to deal with the swiss joining themdubious   discuss british airways was open and oneworld partners thought zurich airport would be a viable alternative hub for london heathrow
",according marcel biedermann managing director intercontinental markets swiss possibilities stay independent niche carrier shrink unrecognisable level attach airline group choice taken swiss talked air franceklm british airways lufthansa swiss tied debt uncertain future unattractive investment merging klm air france said busy deal swiss joining themdubious discuss british airways open oneworld partners thought zurich airport viable alternative hub london heathrow,6.75,"according,marcel,biedermann,managing,director,intercontinental,markets,swiss,possibilities,stay,independent,niche,carrier,shrink,unrecognisable,level,attach,airline,group,choice,taken,swiss,talked,air,franceklm,british,airways,lufthansa,swiss,tied,debt,uncertain,future,unattractive,investment,merging,klm,air,france,said,busy,deal,swiss,joining,themdubious,discuss,british,airways,open,oneworld,partners,thought,zurich,airport,viable,alternative,hub,london,heathrow",0.00,swiss
"after almost a year of disputes swiss was finally accepted into the oneworld airline alliance after having been blocked by british airways which competes with swiss on many long haul routes on  june  swiss announced its decision not to join oneworld because they did not want to integrate their current frequent flyer program into british airways executive club furthermore swiss thought the relationship was one sided where british airways sapped out the benefits of the airline but they would get no return
",year disputes swiss finally accepted oneworld airline alliance blocked british airways competes swiss long haul routes june swiss announced decision join oneworld want integrate current frequent flyer program british airways executive club furthermore swiss thought relationship sided british airways sapped benefits airline return,7.66,"year,disputes,swiss,finally,accepted,oneworld,airline,alliance,blocked,british,airways,competes,swiss,long,haul,routes,june,swiss,announced,decision,join,oneworld,want,integrate,current,frequent,flyer,program,british,airways,executive,club,furthermore,swiss,thought,relationship,sided,british,airways,sapped,benefits,airline,return",0.00,swiss
"the airline annually halved its losses and in  recorded a net profit of  million the net profit for  was  million biedermann stated in the march  edition of airways that this was the beginning of getting our house back in order he said that help was needed and looked up to lufthansa as a comparison so their coming together was natural even with their differences even with the smaller network swiss carries the same number of passengers as they did in 
",airline annually halved losses recorded net profit million net profit million biedermann stated march edition airways beginning getting house order said help needed looked lufthansa comparison coming natural differences smaller network swiss carries number passengers,9.89,"airline,annually,halved,losses,recorded,net,profit,million,net,profit,million,biedermann,stated,march,edition,airways,beginning,getting,house,order,said,help,needed,looked,lufthansa,comparison,coming,natural,differences,smaller,network,swiss,carries,number,passengers",0.00,swiss
"on  march  lufthansa group confirmed its plan to take over swiss starting with a minority stake  in a new company set up to hold swiss shares called air trust swiss operations were gradually integrated with lufthansas from late  and the takeover was completed on  july  swiss joined star alliance and became a member of lufthansas miles and more frequent flyer program on  april 
",march lufthansa group confirmed plan swiss starting minority stake new company set hold swiss shares called air trust swiss operations gradually integrated lufthansas late takeover completed july swiss joined star alliance member lufthansas miles frequent flyer program april,6.58,"march,lufthansa,group,confirmed,plan,swiss,starting,minority,stake,new,company,set,hold,swiss,shares,called,air,trust,swiss,operations,gradually,integrated,lufthansas,late,takeover,completed,july,swiss,joined,star,alliance,member,lufthansas,miles,frequent,flyer,program,april",0.00,swiss
"the airline set up a regional airline subsidiary called swiss european air lines the carrier had its own air operators certificate two divisions  swiss aviation training and swiss worldcargo   are also owned by swiss swiss european air lines  has since ceased operations and merged with its parent swiss
",airline set regional airline subsidiary called swiss european air lines carrier air operators certificate divisions swiss aviation training swiss worldcargo owned swiss swiss european air lines ceased operations merged parent swiss,5.59,"airline,set,regional,airline,subsidiary,called,swiss,european,air,lines,carrier,air,operators,certificate,divisions,swiss,aviation,training,swiss,worldcargo,owned,swiss,swiss,european,air,lines,ceased,operations,merged,parent,swiss",0.00,swiss
"in  swiss international air lines acquired edelweiss air
 and servair  later renamed swiss private aviation in february  swiss private aviation ceased operations as a result of restructuring the company recommended using lufthansa private jet service instead
",swiss international air lines acquired edelweiss air servair later renamed swiss private aviation february swiss private aviation ceased operations result restructuring company recommended lufthansa private jet service instead,3.09,"swiss,international,air,lines,acquired,edelweiss,air,servair,later,renamed,swiss,private,aviation,february,swiss,private,aviation,ceased,operations,result,restructuring,company,recommended,lufthansa,private,jet,service,instead",0.00,swiss
"in  swiss ordered nine airbus a s to gradually replace existing a s and have three class seating the first a  was put into service on the flagship zrich to new york jfk route in april  in spring  swiss operated five a s on medium and long haul routes the remaining four a  aircraft joined the fleet in 
",swiss ordered airbus gradually replace existing class seating service flagship zrich new york jfk route april spring swiss operated medium long haul routes remaining aircraft joined fleet,10.23,"swiss,ordered,airbus,gradually,replace,existing,class,seating,service,flagship,zrich,new,york,jfk,route,april,spring,swiss,operated,medium,long,haul,routes,remaining,aircraft,joined,fleet",0.00,swiss
"following lufthansa groups takeover the regional fleet was changed from crossairs embraer erjs and saabs to avro rjs which were flown by a wholly owned subsidiary swiss global air lines the rest of the fleet was rationalised and now mainly consists of airbus aircraft apart from the boeing  swiss also renegotiated their supplier contracts including ground handling maintenance food service and labour swiss shareholders received a performance based option for their shares the payment was in  and the amount depended on how well lufthansas shares compared with competitors shares lufthansa continues to maintain swiss as a separate brand
",following lufthansa groups takeover regional fleet changed crossairs embraer erjs saabs avro rjs flown wholly owned subsidiary swiss global air lines rest fleet rationalised mainly consists airbus aircraft apart boeing swiss renegotiated supplier contracts including ground handling maintenance food service labour swiss shareholders received performance based option shares payment depended lufthansas shares compared competitors shares lufthansa continues maintain swiss separate brand,5.79,"following,lufthansa,groups,takeover,regional,fleet,changed,crossairs,embraer,erjs,saabs,avro,rjs,flown,wholly,owned,subsidiary,swiss,global,air,lines,rest,fleet,rationalised,mainly,consists,airbus,aircraft,apart,boeing,swiss,renegotiated,supplier,contracts,including,ground,handling,maintenance,food,service,labour,swiss,shareholders,received,performance,based,option,shares,payment,depended,lufthansas,shares,compared,competitors,shares,lufthansa,continues,maintain,swiss,separate,brand",0.00,swiss
