Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the tehran metro  is a rapid transit system serving tehran the capital of iran it is the largest metro system in the middle east the system is owned and operated by tehran urban and suburban railway it consists of six operational metro lines  with construction under way on three lines including west extension of line  line  and north and east extension line 
",tehran metro rapid transit system serving tehran capital iran largest metro system middle east system owned operated tehran urban suburban railway consists operational metro lines construction way lines including west extension line line north east extension line,6.93,"tehran,metro,rapid,transit,system,serving,tehran,capital,iran,largest,metro,system,middle,east,system,owned,operated,tehran,urban,suburban,railway,consists,operational,metro,lines,construction,way,lines,including,west,extension,line,line,north,east,extension,line",0.00,tehran
"the tehran metro carries more than  million passengers a day in   million trips were made on tehran metro as of update the total system was  kilometers  long  kilometers  of which is metro grade rail it is planned to have a length of  kilometers  with nine lines once all construction is complete by 
",tehran metro carries million passengers day million trips tehran metro update total system kilometers long kilometers metro grade rail planned length kilometers lines construction complete,8.97,"tehran,metro,carries,million,passengers,day,million,trips,tehran,metro,update,total,system,kilometers,long,kilometers,metro,grade,rail,planned,length,kilometers,lines,construction,complete",0.00,tehran
"the line uses standard gauge and is mostly underground ticket price is  iranian toman for each journey  regardless of the distance traveled but using prepaid tickets costs much less seniors may travel for free on the metro on all tehran metro trains the first and half of the second carriages from each end are reserved for women women can still ride other cars freely
",line uses standard gauge underground ticket price iranian toman journey regardless distance traveled prepaid tickets costs seniors travel free metro tehran metro trains half second carriages end reserved women women ride cars freely,8.40,"line,uses,standard,gauge,underground,ticket,price,iranian,toman,journey,regardless,distance,traveled,prepaid,tickets,costs,seniors,travel,free,metro,tehran,metro,trains,half,second,carriages,end,reserved,women,women,ride,cars,freely",0.00,tehran
"initial plans for the metro system were laid in late s but could not be executed until  due to socio political issues such as the iranian revolution and the iran iraq war in  the plan and budget organization and the municipality of tehran announced an international tender for construction of a metro in tehran the french company sofretu affiliated with the state owned paris transportation authority ratp won the tender and in the same year began to conduct preliminary studies on the project in  a final report with a so called street metro proposal was tendered the street metro system recommended a road network with a loop express way in the central area and two highways for new urban areas and an  line metro network which were complemented by bus network and taxi services geological surveys commenced in  in  construction on the line was started in northern tehran by the french company however this development was short lived with the advent of the iranian revolution and iraniraq war in  and  respectively sofretu ceased operations in iran in december  on march   the iranian cabinet ministers formally announced the stop of tehran metro operations by the french company
",initial plans metro system laid late executed socio political issues iranian revolution iran iraq war plan budget organization municipality tehran announced international tender construction metro tehran french company sofretu affiliated state owned paris transportation authority ratp tender year began conduct preliminary studies project final report called street metro proposal tendered street metro system recommended road network loop express way central area highways new urban areas line metro network complemented bus network taxi services geological surveys commenced construction line started northern tehran french company development short lived advent iranian revolution iraniraq war respectively sofretu ceased operations iran december march iranian cabinet ministers formally announced stop tehran metro operations french company,7.35,"initial,plans,metro,system,laid,late,executed,socio,political,issues,iranian,revolution,iran,iraq,war,plan,budget,organization,municipality,tehran,announced,international,tender,construction,metro,tehran,french,company,sofretu,affiliated,state,owned,paris,transportation,authority,ratp,tender,year,began,conduct,preliminary,studies,project,final,report,called,street,metro,proposal,tendered,street,metro,system,recommended,road,network,loop,express,way,central,area,highways,new,urban,areas,line,metro,network,complemented,bus,network,taxi,services,geological,surveys,commenced,construction,line,started,northern,tehran,french,company,development,short,lived,advent,iranian,revolution,iraniraq,war,respectively,sofretu,ceased,operations,iran,december,march,iranian,cabinet,ministers,formally,announced,stop,tehran,metro,operations,french,company",0.00,tehran
"in  the tehran metro execution plan was re approved by the majles the iranian parliament on the basis of legal project of amendment of law of establishment of tehran urban and suburban railway company which had been founded on farvardin   this was a literal continuation of exactly the same project that had been laid out before the revolution work proceeded slowly due to the continuing iraniraq war and often ground to a halt by the summer of  urban pressure from the rapidly urbanising population and lack of developed public transport system prompted the work to be resumed in earnest line   and its extension to behesht e zahra cemetery was made a priority line   and an extending towards the city of karaj and mehrshahr district was also made a secondary priority studies were also made to establish the previously designed lines    it was decided that an organisation by the name of the metro company should be established in order to handle the future development of the system
",tehran metro execution plan approved majles iranian parliament basis legal project amendment law establishment tehran urban suburban railway company founded farvardin literal continuation exactly project laid revolution work proceeded slowly continuing iraniraq war ground halt summer urban pressure rapidly urbanising population lack developed public transport system prompted work resumed earnest line extension behesht e zahra cemetery priority line extending city karaj mehrshahr district secondary priority studies establish previously designed lines decided organisation metro company established order handle future development system,8.72,"tehran,metro,execution,plan,approved,majles,iranian,parliament,basis,legal,project,amendment,law,establishment,tehran,urban,suburban,railway,company,founded,farvardin,literal,continuation,exactly,project,laid,revolution,work,proceeded,slowly,continuing,iraniraq,war,ground,halt,summer,urban,pressure,rapidly,urbanising,population,lack,developed,public,transport,system,prompted,work,resumed,earnest,line,extension,behesht,e,zahra,cemetery,priority,line,extending,city,karaj,mehrshahr,district,secondary,priority,studies,establish,previously,designed,lines,decided,organisation,metro,company,established,order,handle,future,development,system",0.00,tehran
"following this phase the metro company was managed by asghar ebrahimi asl for eleven years during this time hundreds of millions of dollars were spent on the system and the metro company was given government concessions for the exploitation of iron ore mines in bandar abbas  exploitation and sale of moghan diotomite mine in the iranian region of azarbaijan export of refinery residues from isfahan oil refinery as well as tar from isfahan steel mill the year after asghar ebrahimi asl left the management of the metro company and mohsen hashemi succeeded him the first line of the tehran metro was launched between tehran and karaj
",following phase metro company managed asghar ebrahimi asl years time hundreds millions dollars spent system metro company given government concessions exploitation iron ore mines bandar abbas exploitation sale moghan diotomite iranian region azarbaijan export refinery residues isfahan oil refinery tar isfahan steel mill year asghar ebrahimi asl left management metro company mohsen hashemi succeeded line tehran metro launched tehran karaj,7.26,"following,phase,metro,company,managed,asghar,ebrahimi,asl,years,time,hundreds,millions,dollars,spent,system,metro,company,given,government,concessions,exploitation,iron,ore,mines,bandar,abbas,exploitation,sale,moghan,diotomite,iranian,region,azarbaijan,export,refinery,residues,isfahan,oil,refinery,tar,isfahan,steel,mill,year,asghar,ebrahimi,asl,left,management,metro,company,mohsen,hashemi,succeeded,line,tehran,metro,launched,tehran,karaj",0.00,tehran
"on  march  an overland tehran karaj express electric train started a limited service of  km  between azadi square  and malard  calling at one intermediate station at vardavard
",march overland tehran karaj express electric train started limited service km azadi square malard calling intermediate station vardavard,5.11,"march,overland,tehran,karaj,express,electric,train,started,limited,service,km,azadi,square,malard,calling,intermediate,station,vardavard",0.00,tehran
"line  of the tehran metro began operating in  and was irans first metro system the line was constructed by the chinese company norinco
",line tehran metro began operating irans metro system line constructed chinese company norinco,7.41,"line,tehran,metro,began,operating,irans,metro,system,line,constructed,chinese,company,norinco",0.00,tehran
"the metro uses equipment manufactured by a wide range of international companies double deck passenger cars for the tehran karaj regional line are supplied by crv  via cntic and assembled by the wagon pars factory in arak
",metro uses equipment manufactured wide range international companies double deck passenger cars tehran karaj regional line supplied crv cntic assembled wagon pars factory arak,5.86,"metro,uses,equipment,manufactured,wide,range,international,companies,double,deck,passenger,cars,tehran,karaj,regional,line,supplied,crv,cntic,assembled,wagon,pars,factory,arak",0.00,tehran
"as of update approximately  billion has been spent on the metro project the tehran metro transports about  million passengers daily through its  operational lines  it also has additional one line under construction  and an additional two lines in engineering phase new  wagons have been added to the system in september  to ease transportation and reduce rush hour congestion iran is able to produce its need in wagons and trains independently
",update approximately billion spent metro project tehran metro transports million passengers daily operational lines additional line construction additional lines engineering phase new wagons added system september ease transportation reduce rush hour congestion iran able produce need wagons trains independently,6.98,"update,approximately,billion,spent,metro,project,tehran,metro,transports,million,passengers,daily,operational,lines,additional,line,construction,additional,lines,engineering,phase,new,wagons,added,system,september,ease,transportation,reduce,rush,hour,congestion,iran,able,produce,need,wagons,trains,independently",0.00,tehran
"line  connects tehran to imam khomeini international airport its first phase to shahr e aftab station opened in  and the airport station opened in august  it is the only metro line in tehran that is completely open  hours a day  in order to accommodate passengers from late night and early morning flights  a third phase which is currently under construction will extend line  to the satellite city of parand and bring the total length of the line to  km  its  km  per hour speeds classify it as an express subway line the first of its kind on the tehran metro
",line connects tehran imam khomeini international airport phase shahr e aftab station opened airport station opened august metro line tehran completely open hours day order accommodate passengers late night early morning flights phase currently construction extend line satellite city parand bring total length line km km hour speeds classify express subway line kind tehran metro,8.02,"line,connects,tehran,imam,khomeini,international,airport,phase,shahr,e,aftab,station,opened,airport,station,opened,august,metro,line,tehran,completely,open,hours,day,order,accommodate,passengers,late,night,early,morning,flights,phase,currently,construction,extend,line,satellite,city,parand,bring,total,length,line,km,km,hour,speeds,classify,express,subway,line,kind,tehran,metro",0.00,tehran
"the line was extended from imam khomeini to baharestan metro station in  and to shahid madani sarsabz and elm o sanat university in march  with the intermediate stations darvazeh shemiran and sabalan opening in july  it was extended further from elm o sanat university to tehran pars in february  and to farhangsara in june  the extension phase to new east terminal is under construction
",line extended imam khomeini baharestan metro station shahid madani sarsabz elm sanat university march intermediate stations darvazeh shemiran sabalan opening july extended elm sanat university tehran pars february farhangsara june extension phase new east terminal construction,7.22,"line,extended,imam,khomeini,baharestan,metro,station,shahid,madani,sarsabz,elm,sanat,university,march,intermediate,stations,darvazeh,shemiran,sabalan,opening,july,extended,elm,sanat,university,tehran,pars,february,farhangsara,june,extension,phase,new,east,terminal,construction",0.00,tehran
