Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"elephants are the largest existing land animals three living species are currently recognised the african bush elephant the african forest elephant and the asian elephant they are the only surviving members of the family elephantidae and the order proboscidea the order was formerly much more diverse during the pleistocene but most species became extinct during the late pleistocene epoch distinctive features of elephants include a long proboscis called a trunk tusks large ear flaps pillar like legs and tough but sensitive skin the trunk is used for breathing and is prehensile bringing food and water to the mouth and grasping objects tusks which are derived from the incisor teeth serve both as weapons and as tools for moving objects and digging the large ear flaps assist in maintaining a constant body temperature as well as in communication african elephants have larger ears and concave backs whereas asian elephants have smaller ears and convex or level backs
",elephants largest existing land animals living species currently recognised african bush elephant african forest elephant asian elephant surviving members family elephantidae order proboscidea order diverse pleistocene species extinct late pleistocene epoch distinctive features elephants include long proboscis called trunk tusks large ear flaps pillar like legs tough sensitive skin trunk breathing prehensile bringing food water mouth grasping objects tusks derived incisor teeth serve weapons tools moving objects digging large ear flaps assist maintaining constant body temperature communication african elephants larger ears concave backs asian elephants smaller ears convex level backs,6.79,"elephants,largest,existing,land,animals,living,species,currently,recognised,african,bush,elephant,african,forest,elephant,asian,elephant,surviving,members,family,elephantidae,order,proboscidea,order,diverse,pleistocene,species,extinct,late,pleistocene,epoch,distinctive,features,elephants,include,long,proboscis,called,trunk,tusks,large,ear,flaps,pillar,like,legs,tough,sensitive,skin,trunk,breathing,prehensile,bringing,food,water,mouth,grasping,objects,tusks,derived,incisor,teeth,serve,weapons,tools,moving,objects,digging,large,ear,flaps,assist,maintaining,constant,body,temperature,communication,african,elephants,larger,ears,concave,backs,asian,elephants,smaller,ears,convex,level,backs",0.00,elephant
"males  leave their family groups when they reach puberty and may live alone or with other males adult bulls mostly interact with family groups when looking for a mate they enter a state of increased testosterone and aggression known as musth which helps them gain dominance over other males as well as reproductive success calves are the centre of attention in their family groups and rely on their mothers for as long as three years elephants can live up to  years in the wild they communicate by touch sight smell and sound elephants use infrasound and seismic communication over long distances elephant intelligence has been compared with that of primates and cetaceans they appear to have self awareness and appear to show empathy for dying and dead family members
",males leave family groups reach puberty live males adult bulls interact family groups looking mate enter state increased testosterone aggression known musth helps gain dominance males reproductive success calves centre attention family groups rely mothers long years elephants live years wild communicate touch sight smell sound elephants use infrasound seismic communication long distances elephant intelligence compared primates cetaceans appear self awareness appear empathy dying dead family members,8.06,"males,leave,family,groups,reach,puberty,live,males,adult,bulls,interact,family,groups,looking,mate,enter,state,increased,testosterone,aggression,known,musth,helps,gain,dominance,males,reproductive,success,calves,centre,attention,family,groups,rely,mothers,long,years,elephants,live,years,wild,communicate,touch,sight,smell,sound,elephants,use,infrasound,seismic,communication,long,distances,elephant,intelligence,compared,primates,cetaceans,appear,self,awareness,appear,empathy,dying,dead,family,members",0.00,elephant
"african bush elephants and asian elephants are listed as endangered and african forest elephants as critically endangered by the international union for conservation of nature  one of the biggest threats to elephant populations is the ivory trade as the animals are poached for their ivory tusks other threats to wild elephants include habitat destruction and conflicts with local people elephants are used as working animals in asia in the past they were used in war today they are often controversially put on display in zoos or exploited for entertainment in circuses elephants are highly recognisable and have been featured in art folklore religion literature and popular culture
",african bush elephants asian elephants listed endangered african forest elephants critically endangered international union conservation nature biggest threats elephant populations ivory trade animals poached ivory tusks threats wild elephants include habitat destruction conflicts local people elephants working animals asia past war today controversially display zoos exploited entertainment circuses elephants highly recognisable featured art folklore religion literature popular culture,7.16,"african,bush,elephants,asian,elephants,listed,endangered,african,forest,elephants,critically,endangered,international,union,conservation,nature,biggest,threats,elephant,populations,ivory,trade,animals,poached,ivory,tusks,threats,wild,elephants,include,habitat,destruction,conflicts,local,people,elephants,working,animals,asia,past,war,today,controversially,display,zoos,exploited,entertainment,circuses,elephants,highly,recognisable,featured,art,folklore,religion,literature,popular,culture",0.00,elephant
"the word elephant is based on the latin elephas   which is the latinised form of the greek    probably from a non indo european language likely phoenician it is attested in mycenaean greek as e re pa  in linear b syllabic script as in mycenaean greek homer used the greek word to mean ivory but after the time of herodotus it also referred to the animal the word elephant appears in middle english as olyfaunt  and was borrowed from old french oliphant 
",word elephant based latin elephas latinised form greek probably non indo european language likely phoenician attested mycenaean greek e pa linear b syllabic script mycenaean greek homer greek word mean ivory time herodotus referred animal word elephant appears middle english olyfaunt borrowed old french oliphant,7.93,"word,elephant,based,latin,elephas,latinised,form,greek,probably,non,indo,european,language,likely,phoenician,attested,mycenaean,greek,e,pa,linear,b,syllabic,script,mycenaean,greek,homer,greek,word,mean,ivory,time,herodotus,referred,animal,word,elephant,appears,middle,english,olyfaunt,borrowed,old,french,oliphant",0.00,elephant
"three species of elephants are recognised the african bush elephant  and forest elephant  of sub saharan africa and the asian elephant  of south and southeast asia african elephants have larger ears a concave back more wrinkled skin a sloping abdomen and two finger like extensions at the tip of the trunk asian elephants have smaller ears a convex or level back smoother skin a horizontal abdomen that occasionally sags in the middle and one extension at the tip of the trunk the looped ridges on the molars are narrower in the asian elephant while those of the african are more diamond shaped the asian elephant also has dorsal bumps on its head and some patches of depigmentation on its skin
",species elephants recognised african bush elephant forest elephant sub saharan africa asian elephant south southeast asia african elephants larger ears concave wrinkled skin sloping abdomen finger like extensions tip trunk asian elephants smaller ears convex level smoother skin horizontal abdomen occasionally sags middle extension tip trunk looped ridges molars narrower asian elephant african diamond shaped asian elephant dorsal bumps head patches depigmentation skin,8.20,"species,elephants,recognised,african,bush,elephant,forest,elephant,sub,saharan,africa,asian,elephant,south,southeast,asia,african,elephants,larger,ears,concave,wrinkled,skin,sloping,abdomen,finger,like,extensions,tip,trunk,asian,elephants,smaller,ears,convex,level,smoother,skin,horizontal,abdomen,occasionally,sags,middle,extension,tip,trunk,looped,ridges,molars,narrower,asian,elephant,african,diamond,shaped,asian,elephant,dorsal,bumps,head,patches,depigmentation,skin",0.00,elephant
"at the beginning of the pleistocene elephantids experienced a high rate of speciation the pleistocene also saw the arrival of palaeoloxodon namadicus the largest terrestrial mammal of all time loxodonta atlantica became the most common species in northern and southern africa but was replaced by elephas iolensis later in the pleistocene only when elephas disappeared from africa did loxodonta become dominant once again this time in the form of the modern species elephas diversified into new species in asia such as e hysudricus and e platycephus the latter the likely ancestor of the modern asian elephant mammuthus evolved into several species including the well known woolly mammoth interbreeding appears to have been common among elephantid species which in some cases led to species with three ancestral genetic components such as the palaeoloxodon antiquus in the late pleistocene most proboscidean species vanished during the quaternary glaciation which killed off  of genera weighing over  kg  worldwide
",beginning pleistocene elephantids experienced high rate speciation pleistocene saw arrival palaeoloxodon namadicus largest terrestrial mammal time loxodonta atlantica common species northern southern africa replaced elephas iolensis later pleistocene elephas disappeared africa loxodonta dominant time form modern species elephas diversified new species asia ehysudricus eplatycephus likely ancestor modern asian elephant mammuthus evolved species including known woolly mammoth interbreeding appears common elephantid species cases led species ancestral genetic components palaeoloxodon antiquus late pleistocene proboscidean species vanished quaternary glaciation killed genera weighing kg worldwide,7.00,"beginning,pleistocene,elephantids,experienced,high,rate,speciation,pleistocene,saw,arrival,palaeoloxodon,namadicus,largest,terrestrial,mammal,time,loxodonta,atlantica,common,species,northern,southern,africa,replaced,elephas,iolensis,later,pleistocene,elephas,disappeared,africa,loxodonta,dominant,time,form,modern,species,elephas,diversified,new,species,asia,ehysudricus,eplatycephus,likely,ancestor,modern,asian,elephant,mammuthus,evolved,species,including,known,woolly,mammoth,interbreeding,appears,common,elephantid,species,cases,led,species,ancestral,genetic,components,palaeoloxodon,antiquus,late,pleistocene,proboscidean,species,vanished,quaternary,glaciation,killed,genera,weighing,kg,worldwide",0.00,elephant
"several species of proboscideans lived on islands and experienced insular dwarfism this occurred primarily during the pleistocene when some elephant populations became isolated by fluctuating sea levels although dwarf elephants did exist earlier in the pliocene these elephants likely grew smaller on islands due to a lack of large or viable predator populations and limited resources by contrast small mammals such as rodents develop gigantism in these conditions dwarf elephants are known to have lived in indonesia the channel islands of california and several islands of the mediterranean
",species proboscideans lived islands experienced insular dwarfism occurred primarily pleistocene elephant populations isolated fluctuating sea levels dwarf elephants exist earlier pliocene elephants likely grew smaller islands lack large viable predator populations limited resources contrast small mammals rodents develop gigantism conditions dwarf elephants known lived indonesia channel islands california islands mediterranean,6.41,"species,proboscideans,lived,islands,experienced,insular,dwarfism,occurred,primarily,pleistocene,elephant,populations,isolated,fluctuating,sea,levels,dwarf,elephants,exist,earlier,pliocene,elephants,likely,grew,smaller,islands,lack,large,viable,predator,populations,limited,resources,contrast,small,mammals,rodents,develop,gigantism,conditions,dwarf,elephants,known,lived,indonesia,channel,islands,california,islands,mediterranean",0.00,elephant
"the skeleton of the elephant is made up of  bones the vertebrae are connected by tight joints which limit the backbones flexibility african elephants have  pairs of ribs while asian elephants have  or  pairs an elephants skull is resilient enough to withstand the forces generated by the leverage of the tusks and head to head collisions the back of the skull is flattened and spread out creating arches that protect the brain in every direction the skull contains air cavities  that reduce the weight of the skull while maintaining overall strength these cavities give the inside of the skull a honeycomb like appearance the cranium is particularly large and provides enough room for the attachment of muscles to support the entire head the lower jaw is solid and heavy because of the size of the head the neck is relatively short to provide better support
",skeleton elephant bones vertebrae connected tight joints limit backbones flexibility african elephants pairs ribs asian elephants pairs elephants skull resilient withstand forces generated leverage tusks head head collisions skull flattened spread creating arches protect brain direction skull contains air cavities reduce weight skull maintaining overall strength cavities inside skull honeycomb like appearance cranium particularly large provides room attachment muscles support entire head lower jaw solid heavy size head neck relatively short provide better support,8.28,"skeleton,elephant,bones,vertebrae,connected,tight,joints,limit,backbones,flexibility,african,elephants,pairs,ribs,asian,elephants,pairs,elephants,skull,resilient,withstand,forces,generated,leverage,tusks,head,head,collisions,skull,flattened,spread,creating,arches,protect,brain,direction,skull,contains,air,cavities,reduce,weight,skull,maintaining,overall,strength,cavities,inside,skull,honeycomb,like,appearance,cranium,particularly,large,provides,room,attachment,muscles,support,entire,head,lower,jaw,solid,heavy,size,head,neck,relatively,short,provide,better,support",0.00,elephant
"elephant ears have thick bases with thin tips the ear flaps or pinnae contain numerous blood vessels called capillaries warm blood flows into the capillaries helping to release excess body heat into the environment this occurs when the pinnae are still and the animal can enhance the effect by flapping them larger ear surfaces contain more capillaries and more heat can be released of all the elephants african bush elephants live in the hottest climates and have the largest ear flaps elephants are capable of hearing at low frequencies and are most sensitive at  khz 
",elephant ears thick bases thin tips ear flaps pinnae contain numerous blood vessels called capillaries warm blood flows capillaries helping release excess body heat environment occurs pinnae animal enhance effect flapping larger ear surfaces contain capillaries heat released elephants african bush elephants live hottest climates largest ear flaps elephants capable hearing low frequencies sensitive khz,7.01,"elephant,ears,thick,bases,thin,tips,ear,flaps,pinnae,contain,numerous,blood,vessels,called,capillaries,warm,blood,flows,capillaries,helping,release,excess,body,heat,environment,occurs,pinnae,animal,enhance,effect,flapping,larger,ear,surfaces,contain,capillaries,heat,released,elephants,african,bush,elephants,live,hottest,climates,largest,ear,flaps,elephants,capable,hearing,low,frequencies,sensitive,khz",0.00,elephant
"elephant trunks have multiple functions including breathing olfaction touching grasping and sound production the animals sense of smell may be four times as sensitive as that of a bloodhound the trunks ability to make powerful twisting and coiling movements allows it to collect food wrestle with other elephants and lift up to  kg  it can be used for delicate tasks such as wiping an eye and checking an orifice and is capable of cracking a peanut she will without breaking the seed with its trunk an elephant can reach items at heights of up to  m  and dig for water under mud or sand individuals may show lateral preference when grasping with their trunks some prefer to twist them to the left others to the right elephants are capable of dilating their nostrils at a radius of nearly  increasing the nasal volume by  and can inhale at over  ms  which is around  times the speed of a human sneeze elephants can suck up food and water both to spray in the mouth and in the case of the latter to sprinkle on their bodies an adult asian elephant is capable of holding  l  of water in its trunk  they will also spray dust or grass on themselves when underwater the elephant uses its trunk as a snorkel
",elephant trunks multiple functions including breathing olfaction touching grasping sound production animals sense smell times sensitive bloodhound trunks ability powerful twisting coiling movements allows collect food wrestle elephants lift kg delicate tasks wiping eye checking orifice capable cracking peanut breaking seed trunk elephant reach items heights dig water mud sand individuals lateral preference grasping trunks prefer twist left right elephants capable dilating nostrils radius nearly increasing nasal volume inhale ms times speed human sneeze elephants suck food water spray mouth case sprinkle bodies adult asian elephant capable holding l water trunk spray dust grass underwater elephant uses trunk snorkel,9.83,"elephant,trunks,multiple,functions,including,breathing,olfaction,touching,grasping,sound,production,animals,sense,smell,times,sensitive,bloodhound,trunks,ability,powerful,twisting,coiling,movements,allows,collect,food,wrestle,elephants,lift,kg,delicate,tasks,wiping,eye,checking,orifice,capable,cracking,peanut,breaking,seed,trunk,elephant,reach,items,heights,dig,water,mud,sand,individuals,lateral,preference,grasping,trunks,prefer,twist,left,right,elephants,capable,dilating,nostrils,radius,nearly,increasing,nasal,volume,inhale,ms,times,speed,human,sneeze,elephants,suck,food,water,spray,mouth,case,sprinkle,bodies,adult,asian,elephant,capable,holding,l,water,trunk,spray,dust,grass,underwater,elephant,uses,trunk,snorkel",0.00,elephant
